uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:52931cfd-0c89-41be-9048-6ce7e8a83599,573,3020511,analogInput,ZN1 Discharge Air Temperature,SME.2ND-FLR.SAV-208a.ZN1-DAT,NAE-73/FC-1.N73-FC1-FEC-004.ZN1-DAT,degreesFahrenheit
urn:uuid:9d8469dc-a64f-4b76-a21d-e09925286acd,573,3020512,analogInput,ZN1 Temperature,SME.2ND-FLR.SAV-208a.ZN1-T,NAE-73/FC-1.N73-FC1-FEC-004.ZN1-T,degreesFahrenheit
urn:uuid:a5e51f97-9cf4-4e52-a07d-f96024213a67,573,3020528,analogInput,ZN2 Discharge Air Temperature,SME.2ND-FLR.SAV-208a.ZN2-DAT,NAE-73/FC-1.N73-FC1-FEC-004.ZN2-DAT,degreesFahrenheit
urn:uuid:a62c96d2-c642-45d4-a939-ddbac0614188,573,3020529,analogInput,ZN2 Temperature,SME.2ND-FLR.SAV-208a.ZN2-T,NAE-73/FC-1.N73-FC1-FEC-004.ZN2-T,degreesFahrenheit
urn:uuid:f7471ee1-ea80-40bd-b056-5c7e93a32c17,573,3020571,analogInput,ZN1 Discharge Air Temperature,SME.2ND-FLR.SAV-213a.ZN1-DAT,NAE-73/FC-1.N73-FC1-FEC-005.ZN1-DAT,degreesFahrenheit
urn:uuid:ff683756-72ce-44e2-96e1-86468debf165,573,3020572,analogInput,ZN1 Temperature,SME.2ND-FLR.SAV-213a.ZN1-T,NAE-73/FC-1.N73-FC1-FEC-005.ZN1-T,degreesFahrenheit
urn:uuid:1e4f5eb1-2444-4dda-bc7c-76e2698727ad,573,3020588,analogInput,ZN2 Discharge Air Temperature,SME.2ND-FLR.SAV-213a.ZN2-DAT,NAE-73/FC-1.N73-FC1-FEC-005.ZN2-DAT,degreesFahrenheit
urn:uuid:0ef1ec76-0412-42f5-866f-59560921195a,573,3020589,analogInput,ZN2 Temperature,SME.2ND-FLR.SAV-213a.ZN2-T,NAE-73/FC-1.N73-FC1-FEC-005.ZN2-T,degreesFahrenheit
urn:uuid:e07afa70-df06-44c4-9c95-6ddd9f1741a3,573,3020605,analogInput,ZN3 Discharge Air Temperature,SME.2ND-FLR.SAV-213a.ZN3-DAT,NAE-73/FC-1.N73-FC1-FEC-005.ZN3-DAT,degreesFahrenheit
urn:uuid:41802ae8-3ccf-4573-ae76-f6313108febd,573,3020606,analogInput,ZN3 Temperature,SME.2ND-FLR.SAV-213a.ZN3-T,NAE-73/FC-1.N73-FC1-FEC-005.ZN3-T,degreesFahrenheit
urn:uuid:dcd183bb-f186-4e07-aa03-44ca8b517476,573,3020630,analogInput,ZN4 Discharge Air Temperature,SME.2ND-FLR.SAV-213b.ZN4-DAT,NAE-73/FC-1.N73-FC1-FEC-006.ZN4-DAT,degreesFahrenheit
urn:uuid:c81404eb-c61e-4b0a-9764-7223921d1e9c,573,3020631,analogInput,ZN4 Temperature,SME.2ND-FLR.SAV-213b.ZN4-T,NAE-73/FC-1.N73-FC1-FEC-006.ZN4-T,degreesFahrenheit
urn:uuid:b89e2989-1517-4a42-88d4-a59b4b3af8bf,573,3020647,analogInput,ZN5 Discharge Air Temperature,SME.2ND-FLR.SAV-213b.ZN5-DAT,NAE-73/FC-1.N73-FC1-FEC-006.ZN5-DAT,degreesFahrenheit
urn:uuid:3c7bec40-873e-4775-bbb1-1ee8e8f6f562,573,3020648,analogInput,ZN5 Temperature,SME.2ND-FLR.SAV-213b.ZN5-T,NAE-73/FC-1.N73-FC1-FEC-006.ZN5-T,degreesFahrenheit
urn:uuid:4638fc67-7d69-4e42-883e-d490a64103a7,573,3020664,analogInput,ZN6 Discharge Air Temperature,SME.2ND-FLR.SAV-213b.ZN6-DAT,NAE-73/FC-1.N73-FC1-FEC-006.ZN6-DAT,degreesFahrenheit
urn:uuid:72f53389-833b-4bcd-90ba-6afffdad298d,573,3020665,analogInput,ZN6 Temperature,SME.2ND-FLR.SAV-213b.ZN6-T,NAE-73/FC-1.N73-FC1-FEC-006.ZN6-T,degreesFahrenheit
urn:uuid:1425345c-1774-4266-9086-27045f925454,573,3020689,analogInput,ZN1 Discharge Air Temperature,SME.2ND-FLR.SAV-216a.ZN1-DAT,NAE-73/FC-1.N73-FC1-FEC-007.ZN1-DAT,degreesFahrenheit
urn:uuid:1848449a-a65e-45f5-98f8-7c35dc183038,573,3020690,analogInput,ZN1 Temperature,SME.2ND-FLR.SAV-216a.ZN1-T,NAE-73/FC-1.N73-FC1-FEC-007.ZN1-T,degreesFahrenheit
