uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:873ade3e-0555-44f1-94fe-e385f17dc450,620,3002903,analogValue,Heat Exhanger 3 Temperature Setpoint,EBU1.EBASEMENT.RM-B565.EPLANT.HX3T-STPT,NAE-120/FC-2.FEC-004.HX3T-STPT,noUnits
urn:uuid:e158e872-6d4d-40fa-b303-12e2d36cc4bc,620,3002923,analogValue,Month,EBU1.EBASEMENT.RM-B565.EPLANT.MONTH,NAE-120/FC-2.FEC-004.MONTH,noUnits
urn:uuid:7dacc745-2cf7-40bd-85e6-3a485868b7a4,620,3002942,analogValue,,CHWDPSP-IL,NAE-120/Programming.EPLANT-DP.CHWDP-SP-RESET.CHWDPSP-IL,percent
urn:uuid:51cb0136-cbe5-432e-a93b-d0572b42039f,620,3002943,analogValue,,CHWDPSP-IH,NAE-120/Programming.EPLANT-DP.CHWDP-SP-RESET.CHWDPSP-IH,percent
urn:uuid:bff78296-b1be-445f-92a8-7ae96ef442b1,620,3002944,analogValue,CHW Differential Pressure Setpoint High,CHWDPSP-OH,NAE-120/Programming.EPLANT-DP.CHWDP-SP-RESET.CHWDPSP-OH,poundsForcePerSquareInch
urn:uuid:84286739-de21-459f-987d-139c6603ead7,620,3002945,analogValue,CHW Differential Pressure Setpoint Low,CHWDPSP-OL,NAE-120/Programming.EPLANT-DP.CHWDP-SP-RESET.CHWDPSP-OL,poundsForcePerSquareInch
urn:uuid:434b6b02-b602-4f82-890a-c4bd4bd172cf,620,3003525,analogValue,,HX1-OATL,NAE-120/Programming.EPLANT-DP.HW-SYS.HX1-OATL,degreesFahrenheit
urn:uuid:b872fcc4-d999-4982-addc-84a5b872b805,620,3003526,analogValue,,HX1-HI,NAE-120/Programming.EPLANT-DP.HW-SYS.HX1-HI,degreesFahrenheit
urn:uuid:6352ec78-daa3-404f-b9d2-193dc0cf69b7,620,3003527,analogValue,,HX1-OATH,NAE-120/Programming.EPLANT-DP.HW-SYS.HX1-OATH,degreesFahrenheit
urn:uuid:1d61feb5-ef1a-43c0-aec1-df2090bb20d4,620,3003528,analogValue,,HX1-LO,NAE-120/Programming.EPLANT-DP.HW-SYS.HX1-LO,degreesFahrenheit
urn:uuid:fadc97a6-131a-4c3b-8dce-e82305c3cb9d,620,3003529,analogValue,,HX3-OATL,NAE-120/Programming.EPLANT-DP.HW-SYS.HX3-OATL,degreesFahrenheit
urn:uuid:9e0613e0-ff6d-4ef7-a4a7-00b14fd8caef,620,3003530,analogValue,,HX3-HI,NAE-120/Programming.EPLANT-DP.HW-SYS.HX3-HI,degreesFahrenheit
urn:uuid:e050cad2-ef47-406a-945e-5d0d674f13f3,620,3003531,analogValue,,HX3-OATH,NAE-120/Programming.EPLANT-DP.HW-SYS.HX3-OATH,degreesFahrenheit
urn:uuid:b49941d1-f642-4110-9018-fb87cbdee165,620,3003532,analogValue,,HX3-LO,NAE-120/Programming.EPLANT-DP.HW-SYS.HX3-LO,degreesFahrenheit
urn:uuid:fe21f1c3-a191-4810-b3ea-e7f55873b7db,620,3003648,analogValue,,HW-SYS Disable OA-STPT,NAE-120/Programming.EPLANT-DP.HW-SYS.HW-SYS Disable OA-STPT,degreesFahrenheit
urn:uuid:d4b24392-4027-4e15-95c1-5987434185a8,620,3003649,analogValue,,HW-SYS Enable OA-STPT,NAE-120/Programming.EPLANT-DP.HW-SYS.HW-SYS Enable OA-STPT,degreesFahrenheit
urn:uuid:3b0d6edc-2233-435f-baf7-12679fae1f7e,620,3004145,analogValue,Frequency,EBU1.BASEMENT.RM-B565.P1-VFD.FREQ,NAE-120/FC-2.P1-VDF-005.FREQ,noUnits
urn:uuid:c2145c45-cd54-432a-aeea-e9bc9a02ed01,620,3004147,analogValue,Current,EBU1.BASEMENT.RM-B565.P1-VFD.VFD-AMP,NAE-120/FC-2.P1-VDF-005.VFD-AMP,noUnits
urn:uuid:1f6c24d4-9a1c-407c-911e-40deacb696e4,620,3004149,analogValue,Volts,EBU1.BASEMENT.RM-B565.P1-VFD.VOLTS,NAE-120/FC-2.P1-VDF-005.VOLTS,noUnits
urn:uuid:0be470ce-3475-4a02-a3d7-ff6d67050904,620,3004160,analogValue,Power Kilowatts,EBU1.BASEMENT.RM-B565.P1-VFD.PWR-KW,NAE-120/FC-2.P1-VDF-005.PWR-KW,noUnits
urn:uuid:b7bf2748-3099-4245-ba12-09feb45b9ccf,620,3004162,analogValue,Run Hours,EBU1.BASEMENT.RM-B565.P1-VFD.RUN-HRS,NAE-120/FC-2.P1-VDF-005.RUN-HRS,noUnits
urn:uuid:c0f9eb3f-1edf-40aa-995a-0ad9a4802b4c,620,3004163,analogValue,Kilowatt Hours,EBU1.BASEMENT.RM-B565.P1-VFD.KW-HRS,NAE-120/FC-2.P1-VDF-005.KW-HRS,noUnits
urn:uuid:512094e8-27cd-42cb-8942-426a7da5dd23,620,3004165,analogValue,Megawatt Hours,EBU1.BASEMENT.RM-B565.P1-VFD.MW-HRS,NAE-120/FC-2.P1-VDF-005.MW-HRS,noUnits
urn:uuid:58fc48f3-945b-454e-886e-bb27d4ffcf4a,620,3004167,analogValue,Drive Temperature,EBU1.BASEMENT.RM-B565.P1-VFD.DRIVE-T,NAE-120/FC-2.P1-VDF-005.DRIVE-T,noUnits
urn:uuid:72eb24a4-5dd7-4526-b54b-5f1b0ceddd5a,620,3004169,analogValue,Revolutions Per Minute,EBU1.BASEMENT.RM-B565.P1-VFD.RPM,NAE-120/FC-2.P1-VDF-005.RPM,noUnits
urn:uuid:4ee78c2c-6527-4cfc-9a7b-d5332e190229,620,3004172,analogValue,Frequency,EBU1.BASEMENT.RM-B565.P2-VFD.FREQ,NAE-120/FC-2.P2-VFD-006.FREQ,noUnits
urn:uuid:284a833e-d3ed-46ae-8b1d-514ab16fc244,620,3004174,analogValue,Current,EBU1.BASEMENT.RM-B565.P2-VFD.VFD-AMP,NAE-120/FC-2.P2-VFD-006.VFD-AMP,noUnits
urn:uuid:95ade79f-a604-47dd-be5e-408c35fd345c,620,3004176,analogValue,Volts,EBU1.BASEMENT.RM-B565.P2-VFD.VOLTS,NAE-120/FC-2.P2-VFD-006.VOLTS,noUnits
urn:uuid:025c85bf-7ec1-4500-bf82-7aff4abce38f,620,3004187,analogValue,Power Kilowatts,EBU1.BASEMENT.RM-B565.P2-VFD.PWR-KW,NAE-120/FC-2.P2-VFD-006.PWR-KW,noUnits
urn:uuid:7439de1b-8ef7-490f-98ee-79e9ed0112e6,620,3004189,analogValue,Run Hours,EBU1.BASEMENT.RM-B565.P2-VFD.RUN-HRS,NAE-120/FC-2.P2-VFD-006.RUN-HRS,noUnits
urn:uuid:f835171b-3f9d-45c6-a5ce-fb806d51a6b9,620,3004190,analogValue,Kilowatt Hours,EBU1.BASEMENT.RM-B565.P2-VFD.KW-HRS,NAE-120/FC-2.P2-VFD-006.KW-HRS,noUnits
urn:uuid:0b8d1164-9a95-430f-b62a-ed4f6f6af30b,620,3004192,analogValue,Megawatt Hours,EBU1.BASEMENT.RM-B565.P2-VFD.MW-HRS,NAE-120/FC-2.P2-VFD-006.MW-HRS,noUnits
urn:uuid:03a06a82-249a-40ff-be3b-a5ce9e709b58,620,3004194,analogValue,Drive Temperature,EBU1.BASEMENT.RM-B565.P2-VFD.DRIVE-T,NAE-120/FC-2.P2-VFD-006.DRIVE-T,noUnits
urn:uuid:f80cee2c-81f0-466e-ac8d-d30105e7e427,620,3004196,analogValue,Revolutions Per Minute,EBU1.BASEMENT.RM-B565.P2-VFD.RPM,NAE-120/FC-2.P2-VFD-006.RPM,noUnits
