uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:74a28425-5a0e-4e87-9e27-e9e15f7e6050,646,3000060,analogInput,Zone Temperature,EBU1.6TH-FLR.RM-6000.VAV-6000-1.ZN-T,NAE-146/FC-1.AH9-VMA-004.ZN-T,degreesFahrenheit
urn:uuid:02b0206e-4b31-4561-8519-59cbae1b7c63,646,3000062,analogInput,Supply Air Temperature,EBU1.6TH-FLR.RM-6000.VAV-6000-1.SA-T,NAE-146/FC-1.AH9-VMA-004.SA-T,degreesFahrenheit
urn:uuid:c4fae8f8-bbbb-4408-b1b6-9c7f1ae903b2,646,3000074,analogInput,Zone Temperature,EBU1.6TH-FLR.RM-6200.VAV-6200-1.ZN-T,NAE-146/FC-1.AH20-VMA-005.ZN-T,degreesFahrenheit
urn:uuid:ece5b721-4adf-4eb2-a5b5-94a35d657397,646,3000076,analogInput,Supply Air Temperature,EBU1.6TH-FLR.RM-6200.VAV-6200-1.SA-T,NAE-146/FC-1.AH20-VMA-005.SA-T,degreesFahrenheit
urn:uuid:c6401cbc-60a9-452f-bc90-36cabb043779,646,3000108,analogInput,Zone Temperature,EBU1.6TH-FLR.RM-6307.VAV-6307-1.ZN-T,NAE-146/FC-1.AH20-VMA-007.ZN-T,degreesFahrenheit
urn:uuid:383e8a34-f94b-4b7f-8cac-9c2e40c9de7b,646,3000110,analogInput,Supply Air Temperature,EBU1.6TH-FLR.RM-6307.VAV-6307-1.SA-T,NAE-146/FC-1.AH20-VMA-007.SA-T,degreesFahrenheit
urn:uuid:3098afd8-9e1f-49a6-951e-48bac42adbbf,646,3000125,analogInput,Zone Temperature,EBU1.6TH-FLR.RM-6311.VAV-6311-1.ZN-T,NAE-146/FC-1.AH20-VMA-008.ZN-T,degreesFahrenheit
urn:uuid:1387d215-932d-4a0d-9f4b-eaa558835c41,646,3000127,analogInput,Supply Air Temperature,EBU1.6TH-FLR.RM-6311.VAV-6311-1.SA-T,NAE-146/FC-1.AH20-VMA-008.SA-T,degreesFahrenheit
urn:uuid:b8a80066-37a7-47bd-8748-34fa66a979cb,646,3000142,analogInput,Zone Temperature,EBU1.6TH-FLR.RM-6315.VAV-6315-1.ZN-T,NAE-146/FC-1.AH20-VMA-009.ZN-T,degreesFahrenheit
urn:uuid:3fba81e1-bbab-403c-b492-1f57d5264383,646,3000144,analogInput,Supply Air Temperature,EBU1.6TH-FLR.RM-6315.VAV-6315-1.SA-T,NAE-146/FC-1.AH20-VMA-009.SA-T,degreesFahrenheit
urn:uuid:e30aee18-cc6f-4b7c-81e9-e9b7141e47b7,646,3000159,analogInput,Zone Temperature,EBU1.6TH-FLR.RM-6501.VAV-6501-1.ZN-T,NAE-146/FC-1.AH21-VMA-010.ZN-T,degreesFahrenheit
urn:uuid:28164a12-71fd-4f4d-8ca3-91665e77a3d1,646,3000161,analogInput,Supply Air Temperature,EBU1.6TH-FLR.RM-6501.VAV-6501-1.SA-T,NAE-146/FC-1.AH21-VMA-010.SA-T,degreesFahrenheit
urn:uuid:5afad099-5dc2-4f2b-ae48-0bbb5e88c9dc,646,3000173,analogInput,Zone Temperature,EBU1.6TH-FLR.RM-6511.VAV-6511-1.ZN-T,NAE-146/FC-1.AH21-VMA-011.ZN-T,degreesFahrenheit
urn:uuid:c822cdc3-faba-4647-b062-cef7c71b1ce6,646,3000175,analogInput,Supply Air Temperature,EBU1.6TH-FLR.RM-6511.VAV-6511-1.SA-T,NAE-146/FC-1.AH21-VMA-011.SA-T,degreesFahrenheit
urn:uuid:73c067d0-b31e-4e6b-8039-55e5c4c88f05,646,3000187,analogInput,Zone Temperature,EBU1.6TH-FLR.RM-6504.VAV-6504-1.ZN-T,NAE-146/FC-1.AH20-VMA-012.ZN-T,degreesFahrenheit
urn:uuid:85a8ea61-36cd-4a20-bc73-2c7c9f9b749a,646,3000189,analogInput,Supply Air Temperature,EBU1.6TH-FLR.RM-6504.VAV-6504-1.SA-T,NAE-146/FC-1.AH20-VMA-012.SA-T,degreesFahrenheit
urn:uuid:1143088c-564f-4034-b3fe-d7d1a983978b,646,3000204,analogInput,Zone Temperature,EBU1.6TH-FLR.RM-6506.VAV-6506-1.ZN-T,NAE-146/FC-1.AH20-VMA-013.ZN-T,degreesFahrenheit
urn:uuid:ab398cbd-3510-4bcc-8f18-a546962bb714,646,3000206,analogInput,Supply Air Temperature,EBU1.6TH-FLR.RM-6506.VAV-6506-1.SA-T,NAE-146/FC-1.AH20-VMA-013.SA-T,degreesFahrenheit
urn:uuid:9cadc39e-30eb-4e1d-87b2-6fb3e166b8dd,646,3000221,analogInput,Zone Temperature,EBU1.6TH-FLR.RM-6508.VAV-6508-1.ZN-T,NAE-146/FC-1.AH20-VMA-014.ZN-T,degreesFahrenheit
urn:uuid:ace6ae08-f8f0-4e01-8195-041bf3a57a4c,646,3000223,analogInput,Supply Air Temperature,EBU1.6TH-FLR.RM-6508.VAV-6508-1.SA-T,NAE-146/FC-1.AH20-VMA-014.SA-T,degreesFahrenheit
