uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:876f1ae5-998f-49a4-b3bd-76ddccf17764,640,3000053,analogInput,Zone Temperature,EBU1.2ND-FLR.RM-2507.VAV-2507-1.ZN-T,NAE-140/FC-1.AH11-VMA-005.ZN-T,degreesFahrenheit
urn:uuid:5420dd43-a87c-40bd-bf48-3eb63f4d73a2,640,3000055,analogInput,Supply Air Temperature,EBU1.2ND-FLR.RM-2507.VAV-2507-1.SA-T,NAE-140/FC-1.AH11-VMA-005.SA-T,degreesFahrenheit
urn:uuid:85675e97-0299-4149-aaca-c787cc906a3b,640,3000095,analogInput,Zone Temperature,EBU1.2ND-FLR.RM-2509.VAV-2509-1.ZN-T,NAE-140/FC-1.AH11-VMA-008.ZN-T,degreesFahrenheit
urn:uuid:eda92cdb-258b-414d-9c73-a4b3247ed9f5,640,3000097,analogInput,Supply Air Temperature,EBU1.2ND-FLR.RM-2509.VAV-2509-1.SA-T,NAE-140/FC-1.AH11-VMA-008.SA-T,degreesFahrenheit
urn:uuid:3ee573d4-33d4-4994-bc12-1a21788cdb2f,640,3000109,analogInput,Zone Temperature,EBU1.2ND-FLR.RM-2511.VAV-2511-1.ZN-T,NAE-140/FC-1.AH11-VMA-009.ZN-T,degreesFahrenheit
urn:uuid:2db3a054-3f13-4804-bb16-d07c3ab1875f,640,3000182,analogInput,Supply Air Temperature,EBU1.3RD-FLR.RM-3517.AH15.SA-T,NAE-140/FC-1.AH15-FAC-014.SA-T,degreesFahrenheit
urn:uuid:9a768b66-bd08-4207-bc21-b75a46bbd793,640,3000187,analogInput,Supply Air Static Pressure,EBU1.3RD-FLR.RM-3517.AH15.SA-SP,NAE-140/FC-1.AH15-FAC-014.SA-SP,inchesOfWater
urn:uuid:836220aa-a0cd-4122-a523-b671231deb68,640,3000269,analogInput,Zone Temperature,EBU1.2ND-FLR.RM-2800.VAV-2800-1.ZN-T,NAE-140/FC-2.AH22-VMA-008.ZN-T,degreesFahrenheit
urn:uuid:e603175a-abde-4da3-88e9-12d9ca8431d3,640,3000271,analogInput,Supply Air Temperature,EBU1.2ND-FLR.RM-2800.VAV-2800-1.SA-T,NAE-140/FC-2.AH22-VMA-008.SA-T,degreesFahrenheit
urn:uuid:52da3364-e934-4526-9a73-ade53c524a74,640,3000370,analogInput,Supply Air Temperature,EBU1.3RD-FLR.RM-3707.AH22.SA-T,NAE-140/FC-2.AH22-FAC-015.SA-T,degreesFahrenheit
urn:uuid:b7ffd00a-4412-445f-a124-48508341fbd6,640,3000371,analogInput,Return Air Temperature,EBU1.3RD-FLR.RM-3707.AH22.RA-T,NAE-140/FC-2.AH22-FAC-015.RA-T,degreesFahrenheit
urn:uuid:6848e7df-2c65-49d7-bb67-d0e1fefb9e60,640,3000372,analogInput,Mixed Air Temperature,EBU1.3RD-FLR.RM-3707.AH22.MA-T,NAE-140/FC-2.AH22-FAC-015.MA-T,degreesFahrenheit
urn:uuid:d6d9550a-cbab-4577-814c-e93fa1597b0b,640,3000374,analogInput,Chill Water Return Temperature,EBU1.3RD-FLR.RM-3707.AH22.CHWR-T,NAE-140/FC-2.AH22-FAC-015.CHWR-T,degreesFahrenheit
urn:uuid:c191f4dc-6b3b-4062-832b-5b77a12a5ca5,640,3000382,analogInput,Supply Air Static Pressure,EBU1.3RD-FLR.RM-3707.AH22.SA-SP,NAE-140/FC-2.AH22-FAC-015.SA-SP,inchesOfWater
urn:uuid:c0f9ee2a-c5e3-4289-9722-e8d8620104a5,640,3000386,analogInput,Building Static Pressure,EBU1.3RD-FLR.RM-3707.AH22.BLDG-SP,NAE-140/FC-2.AH22-FAC-015.BLDG-SP,inchesOfWater
urn:uuid:ffe9ed1e-7f86-49b7-b413-30967198ffd1,640,3000430,analogInput,Supply Air Temperature,EBU1.1ST-FLR.RM-1711.AH7.SA-T,NAE-140/FC-2.AH7-FAC-018.SA-T,degreesFahrenheit
