uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:8ec28d7b-e45e-4261-86cb-e5294c54c285,574,3017864,analogInput,Supply Air Temperature 1a,SME.ROOF.AH1a-AH1b.SA1a-T,NAE-74/FC-1.N74-FC1-FEC-004.DA1a-T,degreesFahrenheit
urn:uuid:b7dc0a4b-414b-4076-81d5-4640278ded82,574,3017865,analogInput,Supply Air Temperature 1b,SME.ROOF.AH1a-AH1b.SA1b-T,NAE-74/FC-1.N74-FC1-FEC-004.DA1b-T,degreesFahrenheit
urn:uuid:ba165905-8c24-4b94-bee8-d89d8b70d3c4,574,3017867,analogInput,Duct Static Pressure 1a,SME.ROOF.AH1a-AH1b.DA1a-SP,NAE-74/FC-1.N74-FC1-FEC-004.DA1a-SP,inchesOfWater
urn:uuid:319d4a1c-6305-4d0e-a3fc-62ffc5e44979,574,3017868,analogInput,Duct Static Pressure 1b,SME.ROOF.AH1a-AH1b.DA1b-SP,NAE-74/FC-1.N74-FC1-FEC-004.DA1b-SP,inchesOfWater
urn:uuid:4128f921-6632-4379-bd4e-0333451477c0,574,3017876,analogInput,Supply Fan Static Pressure 1a,SME.ROOF.AH1a-AH1b.SF1a-SP,NAE-74/FC-1.N74-FC1-FEC-004.SF1a-SP,inchesOfWater
urn:uuid:f88b54ff-6491-481f-937f-37e129ebfc18,574,3017877,analogInput,Filter Diff Pressure 1a,SME.ROOF.AH1a-AH1b.FILT1a-STS,NAE-74/FC-1.N74-FC1-FEC-004.FILT1a-STS,inchesOfWater
urn:uuid:ff6c8432-cc3a-4ddd-81ab-f740796ba493,574,3017878,analogInput,Chilled Water Leaving Temperature 1a,SME.ROOF.AH1a-AH1b.CHWL1a-T,NAE-74/FC-1.N74-FC1-FEC-004.CHWL1a-T,degreesFahrenheit
urn:uuid:33c4f5e1-561c-4fc0-9365-e24609936ef3,574,3017887,analogInput,Supply Fan Static Pressure 1b,SME.ROOF.AH1a-AH1b.SF1b-SP,NAE-74/FC-1.N74-FC1-FEC-004.SF1b-SP,inchesOfWater
urn:uuid:9337252d-2ac5-401d-b02e-2b9d08eedd3b,574,3017888,analogInput,Filter Diff Pressure 1b,SME.ROOF.AH1a-AH1b.FILT1b-STS,NAE-74/FC-1.N74-FC1-FEC-004.FILT1b-STS,inchesOfWater
urn:uuid:181c11f2-014a-4b8f-b4e9-24f2f8d3c768,574,3017889,analogInput,Chilled Water Leaving Temperature 1b,SME.ROOF.AH1a-AH1b.CHWL1b-T,NAE-74/FC-1.N74-FC1-FEC-004.CHWL1b-T,degreesFahrenheit
urn:uuid:0acde9a1-2f04-4177-a86e-4ec5df4fa3e5,574,3017922,analogInput,Outdoor Air Temperature,SME.ROOF.AH2a-AH2b.OA-T,NAE-74/FC-1.N74-FC1-FEC-005.OA-T,degreesFahrenheit
urn:uuid:c493a4bc-87af-4fe1-879d-3c0e04dac274,574,3017923,analogInput,Supply Air Temperature 2a,SME.ROOF.AH2a-AH2b.SA2a-T,NAE-74/FC-1.N74-FC1-FEC-005.DA2a-T,degreesFahrenheit
urn:uuid:cee3e43c-d159-4955-9010-f3d71c783787,574,3017924,analogInput,Supply Air Temperature 2b,SME.ROOF.AH2a-AH2b.SA2b-T,NAE-74/FC-1.N74-FC1-FEC-005.DA2b-T,degreesFahrenheit
