uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:2411da0f-f32b-40e8-971c-e4a827a45b49,694,3000019,analogInput,Supply Air Temperature,CHAN.AC-1.SA-T,NAE-194/N2-1.UNT-2.SA-T,degreesFahrenheit
urn:uuid:30fcf963-d3ad-4240-ab90-8f26e4c5bd2e,694,3000021,analogInput,Metastat Room Setpoint,CHAN.AC-1.ZNT-STPT,NAE-194/N2-1.UNT-2.ZNT-STPT,degreesFahrenheit
urn:uuid:9ca6b5e6-1891-4c7f-b370-61264a68a752,694,3000024,analogInput,Building 111 Office Room Temperature,CHAN.AC-1.ZN-T,NAE-194/N2-1.UNT-2.ZN-T,degreesFahrenheit
urn:uuid:a843f85b-c65f-4817-8436-220583d426e8,694,3000028,analogInput,Supply Air Temperature,CHAN.AC-2.SA-T,NAE-194/N2-1.UNT-3.SA-T,degreesFahrenheit
urn:uuid:8350b1a7-7b2e-418a-92c3-8e1f7487db84,694,3000030,analogInput,Metastat Room Setpoint,CHAN.AC-2.ZNT-STPT,NAE-194/N2-1.UNT-3.ZNT-STPT,degreesFahrenheit
urn:uuid:5620c7f9-df3f-4421-8d92-f7959599992c,694,3000033,analogInput,Building 111A Confrence Room Temperature,CHAN.AC-2.ZN-T,NAE-194/N2-1.UNT-3.ZN-T,degreesFahrenheit
urn:uuid:4feeba7d-c47c-4c91-ba18-50a665dd0820,694,3000014,binaryInput,Generator Common Alarm,CHAN.GEN.GEN-A,NAE-194/N2-1.UNT-1.GEN-A,
urn:uuid:746478a3-f4d1-4bd5-a9a9-d6c3189a4bec,694,3000015,binaryInput,Generator Low Battery,CHAN.GEN.GENLB-STS,NAE-194/N2-1.UNT-1.GENLB-STS,
urn:uuid:6c1f7d30-6892-4f11-a1fa-b5fc8159a8ed,694,3000016,binaryInput,Generator Start Signal,CHAN.GEN.GEN-SS,NAE-194/N2-1.UNT-1.GEN-SS,
urn:uuid:38953825-8a78-4ce2-ae6e-b7d0b1947b85,694,3000017,binaryInput,Emergency Generator Status,CHAN.GEN.GEN-STS,NAE-194/N2-1.UNT-1.GEN-STS,
urn:uuid:d83bdad2-5a68-4f2a-bcae-3049817f1f81,694,3000023,binaryInput,Supply Fan Status,CHAN.AC-1.SF-STS,NAE-194/N2-1.UNT-2.SF-STS,
urn:uuid:e003c317-2b68-49b4-a0f2-dbd69da12882,694,3000025,binaryInput,ATS Emergenecy Power Status,CHAN.GEN.ATSEP-STS,NAE-194/N2-1.UNT-2.ATSEP-STS,
urn:uuid:0a6cd467-5ef7-492d-a04e-7b9c579445d2,694,3000026,binaryInput,ATS Normal Power Status,CHAN.GEN.ATSNP-STS,NAE-194/N2-1.UNT-2.ATSNP-STS,
