uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:3ebf7bdf-f8c2-44d7-bd95-d135756336a9,562,4,analogInput,Supply Air Temperature,EBU3A.1STFLR.RM-136.VMA1-62.SA-T,NAE-62/N2-1.VMA1-62.AI1,degreesFahrenheit
urn:uuid:b256fde7-6125-4d9a-bc6c-b276f14b2df5,562,3000162,analogInput,Zone Temperature,EBU3A.1STFLR.RM-182B.VMA1-1.ZN-T,NAE-62/N2-1.VMA1-1.ZN-T,degreesFahrenheit
urn:uuid:b84a4acb-c674-4e39-994b-faa86fe8661f,562,3000164,analogInput,Warm Cool Adjustment,EBU3A.1STFLR.RM-182B.VMA1-1.WC-ADJ,NAE-62/N2-1.VMA1-1.WC-ADJ,degreesFahrenheit
urn:uuid:5d85fdec-2f84-49dd-9f67-3821d83fe2e0,562,3000165,analogInput,Actual Cooling Setpoint,EBU3A.1STFLR.RM-182B.VMA1-1.ACTCLG-SP,NAE-62/N2-1.VMA1-1.ACTCLG-SP,degreesFahrenheit
urn:uuid:5fa3f976-f46f-4ee3-af28-eeab60b3e8a6,562,3000166,analogInput,Actual Heating Setpoint,EBU3A.1STFLR.RM-182B.VMA1-1.ACTHTG-SP,NAE-62/N2-1.VMA1-1.ACTHTG-SP,degreesFahrenheit
urn:uuid:11c9bf4a-571c-4e36-a518-f7ec35ba4b15,562,3000175,analogInput,Supply Flow,EBU3A.1STFLR.RM-182B.VMA1-1.SA-FLOW,NAE-62/N2-1.VMA1-1.SA-FLOW,cubicFeetPerMinute
urn:uuid:41f798b9-6a43-4cae-9273-91b7ac5f23a6,562,3000180,analogInput,Zone Temperature,EBU3A.1STFLR.RM-182A.VMA1-2.ZN-T,NAE-62/N2-1.VMA1-2.ZN-T,degreesFahrenheit
urn:uuid:e48cbdbe-7526-4da3-898c-b566922191fb,562,3000182,analogInput,Warm Cool Adjustment,EBU3A.1STFLR.RM-182A.VMA1-2.WC-ADJ,NAE-62/N2-1.VMA1-2.WC-ADJ,degreesFahrenheit
urn:uuid:a86c3add-fadc-4a2c-b114-cdbe3aa2d5ed,562,3000183,analogInput,Actual Cooling Setpoint,EBU3A.1STFLR.RM-182A.VMA1-2.ACTCLG-SP,NAE-62/N2-1.VMA1-2.ACTCLG-SP,degreesFahrenheit
urn:uuid:682735a5-1c03-4bfe-a7cc-82110997ef14,562,3000184,analogInput,Actual Heating Setpoint,EBU3A.1STFLR.RM-182A.VMA1-2.ACTHTG-SP,NAE-62/N2-1.VMA1-2.ACTHTG-SP,degreesFahrenheit
