uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:83e8021e-9358-4afb-93c8-b19fcc8de126,743,3000028,analogInput,Return Air Flow,EBU3B.1ST-FLR.RM-1200B.FSD-3.RA-F,NAE-243/FC-1.RA-FEC-004.RA-F,cubicFeetPerMinute
urn:uuid:422e642e-cca4-4d1a-81d7-16a4fd3113e1,743,3000031,analogInput,Zone Temperature,EBU3B.1ST-FLR.RM-1241.VAV-1N22.ZN-T,NAE-243/FC-1.AH1-1-VMA-005.ZN-T,degreesFahrenheit
urn:uuid:7b777144-9a6b-4701-9e29-c509b3205425,743,3000033,analogInput,Supply Air Temperature,EBU3B.1ST-FLR.RM-1241.VAV-1N22.SA-T,NAE-243/FC-1.AH1-1-VMA-005.SA-T,degreesFahrenheit
urn:uuid:7f9aab83-d58a-4ef1-8550-f6dc217be956,743,3000046,analogInput,Supply Air Temperature,EBU3B.1ST-FLR.RM-1242.VAV-1N23.SA-T,NAE-243/FC-1.AH1-1-VMA-006.SA-T,degreesFahrenheit
urn:uuid:67ec6eaf-17db-47ba-a59f-adbe24467716,743,3000057,analogInput,Zone Temperature,EBU3B.1ST-FLR.RM-1242.VAV-1N24.ZN-T,NAE-243/FC-1.AH1-1-VMA-007.ZN-T,degreesFahrenheit
urn:uuid:a0c91083-79ec-4c42-a9cc-fc4a30e12a2b,743,3000059,analogInput,Supply Air Temperature,EBU3B.1ST-FLR.RM-1242.VAV-1N24.SA-T,NAE-243/FC-1.AH1-1-VMA-007.SA-T,degreesFahrenheit
urn:uuid:b580f32d-7f3a-4a95-8f41-f83fb3a94e12,743,3000070,analogInput,Zone Temperature,EBU3B.1ST-FLR.RM-1244.VAV-1N25.ZN-T,NAE-243/FC-1.AH1-1-VMA-008.ZN-T,degreesFahrenheit
urn:uuid:6e3a7825-43e0-4b53-b396-5f02fefd0ff2,743,3000072,analogInput,Supply Air Temperature,EBU3B.1ST-FLR.RM-1244.VAV-1N25.SA-T,NAE-243/FC-1.AH1-1-VMA-008.SA-T,degreesFahrenheit
urn:uuid:7c48eb13-ef40-4a8a-a5ef-adf51cbd2d38,743,3000083,analogInput,Zone Temperature,EBU3B.1ST-FLR.RM-1243.VAV-1N26.ZN-T,NAE-243/FC-1.AH1-1-VMA-009.ZN-T,degreesFahrenheit
urn:uuid:3c1eed6f-3773-41d9-b835-fc7631290a2e,743,3000085,analogInput,Supply Air Temperature,EBU3B.1ST-FLR.RM-1243.VAV-1N26.SA-T,NAE-243/FC-1.AH1-1-VMA-009.SA-T,degreesFahrenheit
urn:uuid:9a7d71b8-49a8-485c-a595-622fe4a3872f,743,3000030,analogOutput,Return Air Damper Command,EBU3B.1ST-FLR.RM-1200B.FSD-3.RADMP-CMD,NAE-243/FC-1.RA-FEC-004.RADMP-CMD,percent
urn:uuid:bd7066c4-3b9b-469d-986e-7b91c6a7fcaa,743,3000036,analogOutput,Damper Command,EBU3B.1ST-FLR.RM-1241.VAV-1N22.DPR-CMD,NAE-243/FC-1.AH1-1-VMA-005.DPR-CMD,percent
urn:uuid:43f33427-b71f-489d-a4c8-ce6e6865ecfe,743,3000040,analogOutput,Heating Valve Command,EBU3B.1ST-FLR.RM-1241.VAV-1N22.HTGVLV-CMD,NAE-243/FC-1.AH1-1-VMA-005.HTGVLV-CMD,percent
urn:uuid:dd6963a8-3d98-4e8e-bda1-8ba83780771b,743,3000049,analogOutput,Damper Command,EBU3B.1ST-FLR.RM-1242.VAV-1N23.DPR-CMD,NAE-243/FC-1.AH1-1-VMA-006.DPR-CMD,percent
urn:uuid:75198c3b-873f-4ffe-8a69-87d9131ede28,743,3000053,analogOutput,Heating Valve Command,EBU3B.1ST-FLR.RM-1242.VAV-1N23.HTGVLV-CMD,NAE-243/FC-1.AH1-1-VMA-006.HTGVLV-CMD,percent
urn:uuid:3719f3f7-6709-433c-ad27-ecab21e11cf2,743,3000062,analogOutput,Damper Command,EBU3B.1ST-FLR.RM-1242.VAV-1N24.DPR-CMD,NAE-243/FC-1.AH1-1-VMA-007.DPR-CMD,percent
urn:uuid:e8b6bcb0-eedc-4beb-9989-60079105ae80,743,3000066,analogOutput,Heating Valve Command,EBU3B.1ST-FLR.RM-1242.VAV-1N24.HTGVLV-CMD,NAE-243/FC-1.AH1-1-VMA-007.HTGVLV-CMD,percent
urn:uuid:7e1a1952-b697-4901-b079-2b5d3021c4ae,743,3000075,analogOutput,Damper Command,EBU3B.1ST-FLR.RM-1244.VAV-1N25.DPR-CMD,NAE-243/FC-1.AH1-1-VMA-008.DPR-CMD,percent
urn:uuid:5c41caad-9a14-437f-9e8b-302ea3d3c615,743,3000079,analogOutput,Heating Valve Command,EBU3B.1ST-FLR.RM-1244.VAV-1N25.HTGVLV-CMD,NAE-243/FC-1.AH1-1-VMA-008.HTGVLV-CMD,percent
urn:uuid:1571aa16-37e5-41b1-9190-a37b521e2a4b,743,3000088,analogOutput,Damper Command,EBU3B.1ST-FLR.RM-1243.VAV-1N26.DPR-CMD,NAE-243/FC-1.AH1-1-VMA-009.DPR-CMD,percent
