uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:56a4ba3d-c05a-4a84-b4bb-d2527a9033b6,642,3000036,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3702.VAV-3702-1.ZN-T,NAE-142/FC-1.AH15-SAV-004.ZN-T,degreesFahrenheit
urn:uuid:953c400d-03d5-4b31-a7ec-8792f036f541,642,3000054,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3704.VAV-3704-1.ZN-T,NAE-142/FC-1.AH15-FEC-005.ZN-T,degreesFahrenheit
urn:uuid:38fc775d-ec9c-4db4-90f4-f430df865374,642,3000061,analogInput,Supply Air Flow,EBU1.3RD-FLR.RM-3704.VAV-3704-1.SA-FLOW,NAE-142/FC-1.AH15-FEC-005.SA-FLOW,cubicFeetPerMinute
urn:uuid:d147a72a-da86-47c6-b124-48f02fad1c8e,642,3000062,analogInput,Exhaust Air Flow,EBU1.3RD-FLR.RM-3704.VAV-3704-1.EA-FLOW,NAE-142/FC-1.AH15-FEC-005.EA-FLOW,cubicFeetPerMinute
urn:uuid:549caee7-33b3-499d-9b71-8a66bb3e859d,642,3000070,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3507.VAV-3507-1.ZN-T,NAE-142/FC-1.AH15-SAV-006.ZN-T,degreesFahrenheit
urn:uuid:2a722230-bb2a-4439-bb36-250aa7d00b43,642,3000088,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3706.VAV-3706-1.ZN-T,NAE-142/FC-1.AH15-SAV-007.ZN-T,degreesFahrenheit
urn:uuid:cb0b6c7d-7509-4fe8-93c0-b0ad79e19a7e,642,3000109,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3509.VAV-3509-1.ZN-T,NAE-142/FC-1.AH15-SAV-009.ZN-T,degreesFahrenheit
urn:uuid:30a1d26a-fc30-4502-ad12-8da620592a4b,642,3000148,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3710.VAV-3710-1.ZN-T,NAE-142/FC-1.AH15-FEC-012.ZN-T,degreesFahrenheit
urn:uuid:9f79a841-f858-44f8-99e3-25dae8be9c40,642,3000155,analogInput,Supply Air Flow,EBU1.3RD-FLR.RM-3710.VAV-3710-1.SA-FLOW,NAE-142/FC-1.AH15-FEC-012.SA-FLOW,cubicFeetPerMinute
urn:uuid:a9b0ed57-5355-479b-a460-6c74f5678710,642,3000156,analogInput,Exhaust Air Flow,EBU1.3RD-FLR.RM-3710.VAV-3710-1.EA-FLOW,NAE-142/FC-1.AH15-FEC-012.EA-FLOW,cubicFeetPerMinute
urn:uuid:3bc2133e-ba6a-4203-84de-838c73486608,642,3000182,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3513.VAV-3513-1.ZN-T,NAE-142/FC-1.AH15-SAV-014.ZN-T,degreesFahrenheit
urn:uuid:4865b9ec-d4a3-4df8-b9aa-d0df937e9583,642,3000206,analogInput,Zone Temperature / EMS,EBU1.3RD-FLR.RM-3705.VAV-3705-1.ZN-T,NAE-142/FC-2.AH15-SAV-006.ZN-T,degreesFahrenheit
urn:uuid:953e1c44-aa61-41df-a317-b4157c1f06a8,642,3000224,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3703.VAV-3703-1.ZN-T,NAE-142/FC-2.AH15-FEC-007.ZN-T,degreesFahrenheit
