uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:15d9406e-d1d3-443c-b792-315e46a422ef,537,3000139,analogInput,Discharge Air Temp,Cal IT.AH2-2.DA-T,NAE-37/N2 Trunk 1.DX-039.DA-T,degreesFahrenheit
urn:uuid:0ef00108-1a49-4da8-961a-0a2acb007511,537,3000142,analogInput,Cooling Coil Disch Temp,Cal IT.AH2-2.CCDA-T,NAE-37/N2 Trunk 1.DX-039.CCDA-T,degreesFahrenheit
urn:uuid:eb597548-81c4-49fc-9581-fd473dc033cd,537,3000191,analogInput,PreHeat Coil Disch Temp,Cal IT.AH2-2.PHCDA-T,NAE-37/N2 Trunk 1.DX-039.PHCDA-T,degreesFahrenheit
urn:uuid:bdf51d26-9a75-4838-a4c3-dc143f0799a9,537,3000193,analogInput,Supply Air Humidity,Cal IT.AH2-2.SA-HUM,NAE-37/N2 Trunk 1.DX-039.SA-HUM,noUnits
urn:uuid:9410aa4d-053c-44fd-a73f-8d62e6b72621,537,3000195,analogInput,Supply Air Static Press,Cal IT.AH2-2.SA-SP,NAE-37/N2 Trunk 1.DX-039.SA-SP,noUnits
urn:uuid:9549f879-4139-4c8d-a303-f75b6ed04b0c,537,3000198,analogInput,Chilled Water Return Tmp,Cal IT.AH2-2.CHWR-T,NAE-37/N2 Trunk 1.DX-039.CHWR-T,degreesFahrenheit
urn:uuid:6f759891-9ae8-4830-9507-047259eb8e62,537,3000200,analogInput,Zone 1 Humidity,Cal IT.AH2-2.ZN1-HUM,NAE-37/N2 Trunk 1.DX-039.ZN1-HUM,noUnits
urn:uuid:4e4cdf6c-c920-4955-a564-8cbd91c6012b,537,3000203,analogInput,Zone 2 Humidity,Cal IT.AH2-2.ZN2-HUM,NAE-37/N2 Trunk 1.DX-039.ZN2-HUM,noUnits
urn:uuid:d28e0056-2f78-4b08-8740-adca433cdf02,537,3000206,analogInput,Zone 3 Humidity,Cal IT.AH2-2.ZN3-HUM,NAE-37/N2 Trunk 1.DX-039.ZN3-HUM,noUnits
urn:uuid:39bd841f-8a9b-4e84-be0c-762b1dcff091,537,3000234,analogInput,Frequency Output,Cal IT.VND041 (AH2-2-VFD).FREQ-OUTPUT,NAE-37/N2 Trunk 1.VND-041.FREQ-OUTPUT,hertz
urn:uuid:4a91fbfe-efa3-48f9-bde7-d05143b96b76,537,3000235,analogInput,Current,Cal IT.VND041 (AH2-2-VFD).CURRENT,NAE-37/N2 Trunk 1.VND-041.CURRENT,amperes
urn:uuid:f8dbcaea-9189-4e9d-93e2-311f21e7fed4,537,3000249,analogInput,Chilled Water Return Temp,CalIT.AH2-2A.CHWR-T,NAE-37/FCB.Local Application.CHWR-T,degreesFahrenheit
urn:uuid:c2393c05-2338-4950-a86f-d325d30ed0ad,537,3000250,analogInput,Zone 1 Humidity,CalIT.AH2-2A.ZN-HUM1,NAE-37/FCB.Local Application.ZN-HUM1,percentRelativeHumidity
urn:uuid:2e00d01f-382b-426a-b91f-8cc042898234,537,3000251,analogInput,Zone 3 Humidity,CalIT.AH2-2A.ZN-HUM3,NAE-37/FCB.Local Application.ZN-HUM3,percentRelativeHumidity
urn:uuid:a85baf42-b611-447e-8efd-ba83e37e81a8,537,3000252,analogInput,Zone 2 Humidity,CalIT.AH2-2A.ZN-HUM2,NAE-37/FCB.Local Application.ZN-HUM2,percentRelativeHumidity
urn:uuid:d091f0af-5515-4e40-9cda-db07ca7caa67,537,3000312,analogInput,Supply Air Humidity,CalIT.AH2-2A.SA-RH,NAE-37/FCB.Local Application.SA-RH,percentRelativeHumidity
urn:uuid:c5fc6103-e843-46e2-90d4-4077a98258fa,537,3000313,analogInput,Supply Air Static Pressure,CalIT.AH2-2A.SA-SP,NAE-37/FCB.Local Application.SA-SP,inchesOfWater
urn:uuid:89f318a5-0135-46ff-b53c-d1e11f383a91,537,3000314,analogInput,Discharge Air Temp,CalIT.AH2-2A.DA-T,NAE-37/FCB.Local Application.DA-T,degreesFahrenheit
urn:uuid:6b3937c1-a0b6-4a68-bc11-006f04de7329,537,3000353,analogInput,Cooling Coil Discharge Air Temp,CalIT.AH2-2A.CCDA-T,NAE-37/FCB.Local Application.CCDA-T,degreesFahrenheit
urn:uuid:4e2280e9-b444-4e87-bd28-660c8fa4ad8e,537,3005262,analogInput,Disch Air Temp,Cal IT.AH2-1.DA-T,NAE-37/N2 Trunk 1.AHU-024.DA-T,degreesFahrenheit
