uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:8a138101-2982-4ea3-ba74-243f19e06e36,641,3000042,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3329.VAV-3329-1.ZN-T,NAE-141/FC-1.AH14-SAV-004.ZN-T,degreesFahrenheit
urn:uuid:ea4f31c7-2759-4362-a45d-24e1f2a54268,641,3000060,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3337.VAV-3337-1.ZN-T,NAE-141/FC-1.AH14-SAV-005.ZN-T,degreesFahrenheit
urn:uuid:0e53f1e8-4dc1-4f24-8f5b-4518b9d109e2,641,3000078,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3325.VAV-3325-1.ZN-T,NAE-141/FC-1.AH14-SAV-006.ZN-T,degreesFahrenheit
urn:uuid:97e4252f-8b86-4d8b-8838-3073519c97af,641,3000114,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3321.VAV-3321-1.ZN-T,NAE-141/FC-1.AH14-SAV-008.ZN-T,degreesFahrenheit
urn:uuid:97a376ef-ed7d-4f30-86bf-1ab686064c90,641,3000132,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3516.VAV-3516-1.ZN-T,NAE-141/FC-1.AH14-SAV-009.ZN-T,degreesFahrenheit
urn:uuid:9dbc244f-a6d2-44e4-8644-b91ce9f4ff95,641,3000150,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3514.VAV-3514-1.ZN-T,NAE-141/FC-1.AH14-FEC-010.ZN-T,degreesFahrenheit
urn:uuid:def4da54-8837-4502-9de2-11dfdaa618af,641,3000157,analogInput,Supply Air Flow,EBU1.3RD-FLR.RM-3514.VAV-3514-1.SA-FLOW,NAE-141/FC-1.AH14-FEC-010.SA-FLOW,cubicFeetPerMinute
urn:uuid:e29750d4-c826-4710-aee9-f7404574bd66,641,3000158,analogInput,Exhaust Air Flow,EBU1.3RD-FLR.RM-3514.VAV-3514-1.EA-FLOW,NAE-141/FC-1.AH14-FEC-010.EA-FLOW,cubicFeetPerMinute
urn:uuid:c295de93-9813-4fc0-b20a-92dc4a800942,641,3000165,analogInput,Fume Hood 1 Air Flow,EBU1.3RD-FLR.RM-3514.VAV-3514-1.FUME1-FLOW,NAE-141/FC-1.AH14-FEC-010.FUME1-FLOW,cubicFeetPerMinute
urn:uuid:486db214-d4d5-4384-9c76-b099529ef6f7,641,3000166,analogInput,Fume Hood 1 Sash Position,EBU1.3RD-FLR.RM-3514.VAV-3514-1.FUME1-SASH,NAE-141/FC-1.AH14-FEC-010.FUME1-SASH,percent
urn:uuid:887d804c-1496-49fb-b631-ed712d3d2800,641,3000168,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3319.VAV-3319-1.ZN-T,NAE-141/FC-1.AH14-SAV-011.ZN-T,degreesFahrenheit
urn:uuid:00f654f2-7de6-4b74-9160-91cf2ddb3419,641,3000190,analogInput,Supply Air Temperature,EBU1.3RD-FLR.RM-3331.AH14.SA-T,NAE-141/FC-1.AH14-FAC-012.SA-T,degreesFahrenheit
urn:uuid:4be6a6e6-4aa6-44b3-91de-7f2acc8ffda5,641,3000191,analogInput,Chilled Water Return Temperature,EBU1.3RD-FLR.RM-3331.AH14.CHWR-T,NAE-141/FC-1.AH14-FAC-012.CHWR-T,degreesFahrenheit
urn:uuid:afc204b2-1170-4dd5-b594-4710325ffae7,641,3000196,analogInput,Supply Air Static Pressure,EBU1.3RD-FLR.RM-3331.AH14.SA-SP,NAE-141/FC-1.AH14-FAC-012.SA-SP,inchesOfWater
urn:uuid:7484196b-fe84-4c37-ad39-abee4886b3d4,641,3000205,analogInput,SF3 Supply Air Temperature,EBU1.3RD-FLR.RM-3331.AH14.SF3SA-T,NAE-141/FC-1.AH14-FAC-012.SF3SA-T,degreesFahrenheit
urn:uuid:2750a945-b590-4596-9494-ce8eaf7ea23d,641,3000226,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3327.VAV-3327-1.ZN-T,NAE-141/FC-1.AH14-SAV-014.ZN-T,degreesFahrenheit
urn:uuid:c56524c0-5e2f-4449-876e-178f4a273da7,641,3000244,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3512.VAV-3512-1.ZN-T,NAE-141/FC-2.AH14-FEC-004.ZN-T,degreesFahrenheit
urn:uuid:a59691dc-00f1-4e61-b7cb-ffd2ee439130,641,3000251,analogInput,Supply Air Flow,EBU1.3RD-FLR.RM-3512.VAV-3512-1.SA-FLOW,NAE-141/FC-2.AH14-FEC-004.SA-FLOW,cubicFeetPerMinute
urn:uuid:07a2c1c2-e41a-4044-8df9-b757df063780,641,3000252,analogInput,Exhaust Air Flow,EBU1.3RD-FLR.RM-3512.VAV-3512-1.EA-FLOW,NAE-141/FC-2.AH14-FEC-004.EA-FLOW,cubicFeetPerMinute
urn:uuid:82bbbd1a-bf6f-472e-a9fb-ee8fa42efcd2,641,3000259,analogInput,Fume Hood 1 Air Flow,EBU1.3RD-FLR.RM-3512.VAV-3512-1.FUME1-FLOW,NAE-141/FC-2.AH14-FEC-004.FUME1-FLOW,cubicFeetPerMinute
urn:uuid:db7ec0dd-bd39-4d2a-b540-69c64d30de06,641,3000260,analogInput,Fume Hood 1 Sash Position,EBU1.3RD-FLR.RM-3512.VAV-3512-1.FUME1-SASH,NAE-141/FC-2.AH14-FEC-004.FUME1-SASH,percent
urn:uuid:567aca55-bcaa-4f38-947b-bc911d3c7341,641,3000262,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3305.VAV-3305-1.ZN-T,NAE-141/FC-2.AH14-SAV-005.ZN-T,degreesFahrenheit
urn:uuid:bd391a0c-6c08-424a-9a4b-807a9fa1dbb2,641,3000280,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3317.VAV-3317-1.ZN-T,NAE-141/FC-2.AH14-FEC-006.ZN-T,degreesFahrenheit
urn:uuid:8efc05cd-13cc-4d81-bbf4-3438ea8d3f53,641,3000287,analogInput,Supply Air Flow,EBU1.3RD-FLR.RM-3317.VAV-3317-1.SA-FLOW,NAE-141/FC-2.AH14-FEC-006.SA-FLOW,cubicFeetPerMinute
urn:uuid:eab5e2bc-75a4-482b-a997-f778cbde1c68,641,3000288,analogInput,Exhaust Air Flow,EBU1.3RD-FLR.RM-3317.VAV-3317-1.EA-FLOW,NAE-141/FC-2.AH14-FEC-006.EA-FLOW,cubicFeetPerMinute
urn:uuid:738e1806-d916-4d23-9800-154a858990d4,641,3000295,analogInput,Fume Hood 1 Air Flow,EBU1.3RD-FLR.RM-3317.VAV-3317-1.FUME1-FLOW,NAE-141/FC-2.AH14-FEC-006.FUME1-FLOW,cubicFeetPerMinute
urn:uuid:b154c5cb-e768-4fcf-8fc2-a131958796e9,641,3000296,analogInput,Fume Hood 1 Sash Position,EBU1.3RD-FLR.RM-3317.VAV-3317-1.FUME1-SASH,NAE-141/FC-2.AH14-FEC-006.FUME1-SASH,percent
urn:uuid:4f295113-2285-43fa-873e-3fdfb01ccbbd,641,3000298,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3508.VAV-3508-1.ZN-T,NAE-141/FC-2.AH14-SAV-007.ZN-T,degreesFahrenheit
urn:uuid:502233fe-180e-4df9-be6c-463cd4e659cd,641,3000316,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3315.VAV-3315-1.ZN-T,NAE-141/FC-2.AH14-SAV-008.ZN-T,degreesFahrenheit
urn:uuid:415a2241-4099-4017-990d-ceec5876b832,641,3000334,analogInput,Zone Temperature,EBU1.3RD-FLR.RM-3504.VAV-3504-1.ZN-T,NAE-141/FC-2.AH14-FEC-009.ZN-T,degreesFahrenheit
