uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:276479e4-1d2f-4530-8d92-d300e7eabff6,563,3000359,analogInput,Supply Air Velocity Pressure,EBU3A.3RDFLR.RM-301.VMA3-17.SA-VP,NAE-63/N2-1.VMA3-17.SA-VP,inchesOfWater
urn:uuid:7695bd9e-c14f-4b88-a6a1-a1950ef6492e,563,3000360,analogInput,Actual Cooling Setpoint,EBU3A.3RDFLR.RM-301.VMA3-17.ACTCLG-SP,NAE-63/N2-1.VMA3-17.ACTCLG-SP,degreesFahrenheit
urn:uuid:045e5f77-1306-4fb7-a3f3-26cd5034eedd,563,3000361,analogInput,Actual Heating Setpoint,EBU3A.3RDFLR.RM-301.VMA3-17.ACTHTG-SP,NAE-63/N2-1.VMA3-17.ACTHTG-SP,degreesFahrenheit
urn:uuid:e3524955-1995-4364-b5b7-59ff8073b772,563,3000372,analogInput,Supply Flow,EBU3A.3RDFLR.RM-301.VMA3-17.SA-FLOW,NAE-63/N2-1.VMA3-17.SA-FLOW,cubicFeetPerMinute
urn:uuid:0cb98cce-33a1-4169-8949-f0eafb59a73b,563,3000376,analogInput,Zone Temperature,EBU3A.3RDFLR.RM-346B.VAV3-52.ZN-T,NAE-63/N2-1.VAV3-52.ZN-T,degreesFahrenheit
urn:uuid:42c8479d-16f5-406e-9b18-9f79fafde284,563,3000378,analogInput,Warm Cool Adjust,EBU3A.3RDFLR.RM-346B.VAV3-52.WC-ADJ,NAE-63/N2-1.VAV3-52.WC-ADJ,degreesFahrenheit
urn:uuid:c13b5d6c-f8a6-4654-8a8e-0483cc54c98b,563,3000379,analogInput,Actual Cooling Setpoint,EBU3A.3RDFLR.RM-346B.VAV3-52.ACTCLG-SP,NAE-63/N2-1.VAV3-52.ACTCLG-SP,degreesFahrenheit
urn:uuid:81689e83-84d9-4008-9224-7c4ff7e17ad3,563,3000380,analogInput,Actual Heating Setpoint,EBU3A.3RDFLR.RM-346B.VAV3-52.ACTHTG-SP,NAE-63/N2-1.VAV3-52.ACTHTG-SP,degreesFahrenheit
urn:uuid:e195f51d-56da-422e-95c0-df28cf1a9b68,563,3000396,analogInput,Zone Temperature,EBU3A.3RDFLR.RM-345.VAV3-13.ZN-T,NAE-63/N2-1.VAV3-13.ZN-T,degreesFahrenheit
urn:uuid:56aa4a79-d27c-4339-81a9-7e1ca411945d,563,3000398,analogInput,Warm Cool Adjust,EBU3A.3RDFLR.RM-345.VAV3-13.WC-ADJ,NAE-63/N2-1.VAV3-13.WC-ADJ,degreesFahrenheit
urn:uuid:7584c3b1-f75c-472d-8c2c-9d10ff495d7e,563,3000399,analogInput,Actual Cooling Setpoint,EBU3A.3RDFLR.RM-345.VAV3-13.ACTCLG-SP,NAE-63/N2-1.VAV3-13.ACTCLG-SP,degreesFahrenheit
urn:uuid:577c7660-fb22-4d38-90c6-6b959a9bbfd9,563,3000400,analogInput,Actual Heating Setpoint,EBU3A.3RDFLR.RM-345.VAV3-13.ACTHTG-SP,NAE-63/N2-1.VAV3-13.ACTHTG-SP,degreesFahrenheit
urn:uuid:350b85e2-89f2-4f4a-a85b-fc5b7940a8ab,563,3000416,analogInput,Zone Temperature,EBU3A.3RDFLR.RM-346A.VAV3-15.ZN-T,NAE-63/N2-1.VAV3-15.ZN-T,degreesFahrenheit
urn:uuid:d1d894d2-2d58-43a5-a79e-1cf19bf89fd8,563,3000418,analogInput,Warm Cool Adjust,EBU3A.3RDFLR.RM-346A.VAV3-15.WC-ADJ,NAE-63/N2-1.VAV3-15.WC-ADJ,degreesFahrenheit
urn:uuid:d1e58afe-4249-497f-98fd-b34902c15565,563,3000419,analogInput,Actual Cooling Setpoint,EBU3A.3RDFLR.RM-346A.VAV3-15.ACTCLG-SP,NAE-63/N2-1.VAV3-15.ACTCLG-SP,degreesFahrenheit
urn:uuid:243cd516-a516-4d38-93fb-3aa0755ea28d,563,3000420,analogInput,Actual Heating Setpoint,EBU3A.3RDFLR.RM-346A.VAV3-15.ACTHTG-SP,NAE-63/N2-1.VAV3-15.ACTHTG-SP,degreesFahrenheit
urn:uuid:9af07adc-6a2f-4a5f-9e02-24709b6003f6,563,3000436,analogInput,Zone Temperature,EBU3A.3RDFLR.RM-347.VAV3-14.ZN-T,NAE-63/N2-1.VAV3-14.ZN-T,degreesFahrenheit
urn:uuid:6a5d9251-5844-4a94-ad17-6c34cbb64ad1,563,3000438,analogInput,Warm Cool Adjust,EBU3A.3RDFLR.RM-347.VAV3-14.WC-ADJ,NAE-63/N2-1.VAV3-14.WC-ADJ,degreesFahrenheit
urn:uuid:25e2b912-4fe5-4155-9742-e6903466b649,563,3000439,analogInput,Actual Cooling Setpoint,EBU3A.3RDFLR.RM-347.VAV3-14.ACTCLG-SP,NAE-63/N2-1.VAV3-14.ACTCLG-SP,degreesFahrenheit
urn:uuid:ef58abf8-d37a-442e-9ee1-a7a6b5ede104,563,3000440,analogInput,Actual Heating Setpoint,EBU3A.3RDFLR.RM-347.VAV3-14.ACTHTG-SP,NAE-63/N2-1.VAV3-14.ACTHTG-SP,degreesFahrenheit
urn:uuid:52c47c11-8222-486e-b8a6-46ba97f1d2f7,563,3000456,analogInput,Zone Temperature,EBU3A.3RDFLR.RM-344.PHX-2.ZN-T,NAE-63/N2-1.PHX-2.ZN-T,degreesFahrenheit
urn:uuid:08f7dd71-9acd-4c8d-9f83-4f0c18445142,563,3000459,analogInput,Warm/Cool Adjust,EBU3A.3RDFLR.RM-344.PHX-2.WC-ADJ,NAE-63/N2-1.PHX-2.WC-ADJ,degreesFahrenheit
urn:uuid:b9d04b56-8a9f-45e3-a076-ebcf20190e3e,563,3000462,analogInput,Make-Up Flow,EBU3A.3RDFLR.RM-344.PHX-2.MAKUP-FLO,NAE-63/N2-1.PHX-2.MAKUP-FLO,cubicFeetPerMinute
urn:uuid:ae408bfa-c664-42de-bfc5-c75b4a1a04b6,563,3000463,analogInput,General Exhaust Flow,EBU3A.3RDFLR.RM-344.PHX-2.GEN-EXH,NAE-63/N2-1.PHX-2.GEN-EXH,cubicFeetPerMinute
urn:uuid:f65988c4-a363-4db1-8e37-6452b371ad56,563,3000464,analogInput,Hood 1 Flow,EBU3A.3RDFLR.RM-344.PHX-2.HD1-FLOW,NAE-63/N2-1.PHX-2.HD1-FLOW,cubicFeetPerMinute
urn:uuid:6c64b3f4-2a4d-42b0-9bb3-abbb8b1af19b,563,3000465,analogInput,Hood 1 Sash Position,EBU3A.3RDFLR.RM-344.PHX-2.HD1-SASH,NAE-63/N2-1.PHX-2.HD1-SASH,264
urn:uuid:25502032-d4b5-4072-856c-3fafbb61b871,563,3000466,analogInput,Hood 1 Flow Command,EBU3A.3RDFLR.RM-344.PHX-2.HD1-CMD,NAE-63/N2-1.PHX-2.HD1-CMD,cubicFeetPerMinute
urn:uuid:31692629-40e8-48b0-a52e-b7ab2eaed6a9,563,3000475,analogInput,Zone Temperature,EBU3A.3RDFLR.CORR-NW.VMA3-35.ZN-T,NAE-63/N2-1.VMA3-35.ZN-T,degreesFahrenheit
urn:uuid:eb90ea22-d11d-4cbd-9532-d2e2716c291b,563,3000477,analogInput,Warm Cool Adjustment,EBU3A.3RDFLR.CORR-NW.VMA3-35.WC-ADJ,NAE-63/N2-1.VMA3-35.WC-ADJ,degreesFahrenheit
urn:uuid:84a4f53b-bd69-4b66-9fab-893b3057946f,563,3000478,analogInput,Actual Cooling Setpoint,EBU3A.3RDFLR.CORR-NW.VMA3-35.ACTCLG-SP,NAE-63/N2-1.VMA3-35.ACTCLG-SP,degreesFahrenheit
urn:uuid:0721b152-a9d9-49b6-b44e-bb90c77f9753,563,3000479,analogInput,Actual Heating Setpoint,EBU3A.3RDFLR.CORR-NW.VMA3-35.ACTHTG-SP,NAE-63/N2-1.VMA3-35.ACTHTG-SP,degreesFahrenheit
urn:uuid:1ee28c0e-cc14-4005-a1be-9d14a887d3ac,563,3000488,analogInput,Supply Flow,EBU3A.3RDFLR.CORR-NW.VMA3-35.SA-FLOW,NAE-63/N2-1.VMA3-35.SA-FLOW,cubicFeetPerMinute
urn:uuid:a4c74b19-06ea-4db9-a0cd-be36bd0ce5e9,563,3000493,analogInput,Zone Temperature,EBU3A.3RDFLR.CORR-CTRW.VMA3-34.ZN-T,NAE-63/N2-1.VMA3-34.ZN-T,degreesFahrenheit
urn:uuid:5ee37b8b-feb8-472a-92b4-8cfd245ff2e1,563,3000495,analogInput,Warm Cool Adjustment,EBU3A.3RDFLR.CORR-CTRW.VMA3-34.WC-ADJ,NAE-63/N2-1.VMA3-34.WC-ADJ,degreesFahrenheit
urn:uuid:c50a996c-8efb-464d-a4ba-401047058572,563,3000496,analogInput,Actual Cooling Setpoint,EBU3A.3RDFLR.CORR-CTRW.VMA3-34.ACTCLG-SP,NAE-63/N2-1.VMA3-34.ACTCLG-SP,degreesFahrenheit
