uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:121dcbbb-fab3-41ac-9e5b-24e64e514823,700,3000218,analogInput,AH-1 Phoenix Controller Room 370,SERF.3RD-FLR.RM-370.PHX-1.ZN-T,NAE-200/N2-1.AH1-PHX-1.ZN-T,degreesFahrenheit
urn:uuid:64faa654-0d1e-463b-99b6-51ce832f3e57,700,3000219,analogInput,AH-1 Phoenix Controller Room 463,SERF.4TH-FLR.RM-463.PHX-10.ZN-T,NAE-200/N2-1.AH1-PHX-10.ZN-T,degreesFahrenheit
urn:uuid:d49db58f-0c8f-44af-ae92-ac4ac54a9066,700,3000220,analogInput,AH-1 Phoenix Controller Room 464,SERF.4TH-FLR.RM-464.PHX-11.ZN-T,NAE-200/N2-1.AH1-PHX-11.ZN-T,degreesFahrenheit
urn:uuid:115f2290-0d70-45c2-89e6-174115dfad7a,700,3000221,analogInput,AH-1 Phoenix Controller Room 465,SERF.4TH-FLR.RM-465.PHX-12.ZN-T,NAE-200/N2-1.AH1-PHX-12.ZN-T,degreesFahrenheit
urn:uuid:b565eadb-8a5b-42a6-8156-109631550168,700,3000222,analogInput,AH-1 Phoenix Controller Room 382A,SERF.3RD-FLR.RM-382A.PHX-13.ZN-T,NAE-200/N2-1.AH1-PHX-13.ZN-T,degreesFahrenheit
urn:uuid:63d4d3bc-434d-45b9-9270-121b89c1c053,700,3000223,analogInput,AH-1 Phoenix Controller Room 371,SERF.3RD-FLR.RM-371.PHX-2.ZN-T,NAE-200/N2-1.AH1-PHX-2.ZN-T,degreesFahrenheit
urn:uuid:dc074f7b-375d-4fd9-a5a9-2e995a440ce5,700,3000224,analogInput,AH-1 Phoenix Controller Room 375,SERF.3RD-FLR.RM-375.PHX-3.ZN-T,NAE-200/N2-1.AH1-PHX-3.ZN-T,degreesFahrenheit
urn:uuid:546f13bb-8789-409d-98cd-2433a6408753,700,3000225,analogInput,AH-1 Phoenix Controller Room 376,SERF.3RD-FLR.RM-376.PHX-4.ZN-T,NAE-200/N2-1.AH1-PHX-4.ZN-T,degreesFahrenheit
urn:uuid:83f32c51-2737-48a4-b8d9-4d402774efd0,700,3000226,analogInput,AH-1 Phoenix Controller Room 379,SERF.3RD-FLR.RM-379.PHX-5.ZN-T,NAE-200/N2-1.AH1-PHX-5.ZN-T,degreesFahrenheit
urn:uuid:eda9b1d5-6e2d-496d-9a55-bfaec2533617,700,3000227,analogInput,AH-1 PHX Controller Room 381A&B,SERF.3RD-FLR.RM-381.PHX-6.ZN-T,NAE-200/N2-1.AH1-PHX-6.ZN-T,degreesFahrenheit
