uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:e3a4cca5-8286-4219-8733-0ca548919991,501,3005488,analogInput,Heating Water Supply Temp,MPB-HW.HWS-T,NAE-01/N2-1.DX-PLANT.HWS-T,degreesFahrenheit
urn:uuid:8a05e41e-c136-4d95-8a30-02ceaa893ce0,501,3005491,analogInput,Heating Water Return Temp,MPB-HW.HWR-T,NAE-01/N2-1.DX-PLANT.HWR-T,degreesFahrenheit
urn:uuid:97085bcd-b246-47d0-94e8-9b975f5ff6f5,501,3005497,analogInput,HOT WATER DIFF.PRESSURE,MPB-HW.HW-DP,NAE-01/N2-1.DX-PLANT.HW-DP,noUnits
urn:uuid:b53c27b7-40fd-4753-9032-b118815ffaaa,501,3005499,analogInput,CHILLED WATER DIFF.PRESS,MPB-CHW.CHW-DP,NAE-01/N2-1.DX-PLANT.CHW-DP,poundsForcePerSquareInch
urn:uuid:5add97a6-5f9f-4863-bd5e-998153eb12e0,501,3005501,analogInput,DOMESTIC HW TEMPERATURE,MPB-DHW.DHW-T,NAE-01/N2-1.DX-PLANT.DHW-T,degreesFahrenheit
urn:uuid:4044c788-8955-438e-bebc-308ec3526858,501,3006369,analogInput,Room 119,TeleCom ZN-T,NAE-01/N2-1.UNT-8.TeleCom ZN-T,degreesFahrenheit
urn:uuid:54868095-5ee0-4b7b-9d0c-3c1913c3a691,501,3006370,analogInput,Served By EF-4,RM-119-T,NAE-01/N2-1.UNT-8.RM-119-T,degreesFahrenheit
urn:uuid:6eef4fa0-79b2-4f5b-bbf4-2ea432c67862,501,3006371,analogInput,Served By EF-5,RM-117-T,NAE-01/N2-1.UNT-8.RM-117-T,degreesFahrenheit
urn:uuid:1adf671a-c793-4226-80bb-7be8e26766f6,501,3006372,analogInput,,FC1-DA-T,NAE-01/N2-1.UNT-8.FC1-DA-T,degreesFahrenheit
urn:uuid:5050d5d1-f890-44cd-bb53-3fd95ebbf738,501,3006373,analogInput,,FC1-RA-T,NAE-01/N2-1.UNT-8.FC1-RA-T,degreesFahrenheit
urn:uuid:04ecfee2-72b5-4051-a89c-ab39b2c19f3b,501,3006388,analogInput,DISCHARGE.AIR TEMPERATURE,MPB-AH1.DA-T,NAE-01/N2-2.DXAH-1.DA-T,degreesFahrenheit
urn:uuid:91f0de74-a736-4020-8951-ec112071fe0a,501,3006391,analogInput,RETURN AIR TEMPERATURE,MPB-AH1.RA-T,NAE-01/N2-2.DXAH-1.RA-T,degreesFahrenheit
urn:uuid:2e8db3c5-a2ab-41b6-8bdc-70aa8a412938,501,3006393,analogInput,MIXED AIR TEMPERATURE,MPB-AH1.MA-T,NAE-01/N2-2.DXAH-1.MA-T,degreesFahrenheit
urn:uuid:5cadae82-1dff-4c1e-886e-952e952d0e68,501,3006394,analogInput,OUTSIDE AIR TEMPERATURE,MPB-AH1.OA-T,NAE-01/N2-2.DXAH-1.OA-T,degreesFahrenheit
urn:uuid:76e567c2-b517-4034-8645-8ab52a2731d4,501,3006396,analogInput,SUPPLY STATIC PRESSURE,MPB-AH1.SA-SP,NAE-01/N2-2.DXAH-1.SA-SP,inchesOfWater
