uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:902ccbec-3e65-4d49-89bc-982a264ca12a,770,3000027,analogInput,Outdoor Air Temperature,PRICE CENTER.ROOF.AHU-6.OA-T,NAE-270/FC-1.FEC-04.OA-T,degreesFahrenheit
urn:uuid:6284f6ef-9d84-4fca-889b-804a9ae8573e,770,3000028,analogInput,Outdoor Air Humidity,PRICE CENTER.ROOF.AHU-6.OA-H,NAE-270/FC-1.FEC-04.OA-H,percentRelativeHumidity
urn:uuid:31c92eaf-e113-4b28-bbec-e081d861bd75,770,3000031,analogInput,Discharge Air Temperature,PRICE CENTER.ROOF.AHU-6.DA-T,NAE-270/FC-1.FEC-04.DA-T,degreesFahrenheit
urn:uuid:5f9d2142-bb14-4e84-87a4-8df0a55e77d1,770,3000033,analogInput,Mixed Air Temperature,PRICE CENTER.ROOF.AHU-6.MA-T,NAE-270/FC-1.FEC-04.MA-T,degreesFahrenheit
urn:uuid:5631ff5c-79bb-4f72-92b1-b7adb220a78e,770,3000034,analogInput,Return Air Temperature,PRICE CENTER.ROOF.AHU-6.RA-T,NAE-270/FC-1.FEC-04.RA-T,degreesFahrenheit
urn:uuid:93b229f8-9d33-4585-ae8a-cb46347a6793,770,3000035,analogInput,Chilled Water Leaving Temperature,PRICE CENTER.ROOF.AHU-6.CHWL-T,NAE-270/FC-1.FEC-04.CHWL-T,degreesFahrenheit
urn:uuid:3bbf5828-9d22-433b-b781-bfad70a6eae1,770,3000036,analogInput,Discharge Air Static Pressure 1,PRICE CENTER.ROOF.AHU-6.DA-P,NAE-270/FC-1.FEC-04.DA-P,inchesOfWater
urn:uuid:15ce27f3-98f3-41b8-8872-7a8a72cd3a2c,770,3000038,analogInput,Return Air Humidity,PRICE CENTER.ROOF.AHU-6.RA-H,NAE-270/FC-1.FEC-04.RA-H,percentRelativeHumidity
urn:uuid:9862a7cb-f9f6-43cb-877d-3a7b8513fc7b,770,3000039,analogInput,Return Air CO2,PRICE CENTER.ROOF.AHU-6.RA-CO2,NAE-270/FC-1.FEC-04.RA-CO2,partsPerMillion
urn:uuid:d6b839a9-c16a-4274-85bb-717c89ecf71d,770,3000041,analogInput,Discharge Air Velocity Pressure,PRICE CENTER.ROOF.AHU-6.DA-VP,NAE-270/FC-1.FEC-04.DA-VP,inchesOfWater
urn:uuid:bf616fba-aafa-4a52-bc61-6c827f04ca10,770,3000043,analogInput,Return Air Velocity Pressure,PRICE CENTER.ROOF.AHU-6.RA-VP,NAE-270/FC-1.FEC-04.RA-VP,inchesOfWater
urn:uuid:b905581e-8299-4b0b-a0f3-eb9ae7f7171b,770,3000047,analogOutput,Supply Fan Output,PRICE CENTER.ROOF.AHU-6.SF-O,NAE-270/FC-1.FEC-04.SF-O,percent
urn:uuid:60c52606-f7b5-4b3f-80e0-e732794c7ebf,770,3000050,analogOutput,Return Fan Output,PRICE CENTER.ROOF.AHU-6.RF-O,NAE-270/FC-1.FEC-04.RF-O,percent
urn:uuid:359d6f9c-a4f0-4657-944c-2ea5d9cc495f,770,3000052,analogOutput,Heating Output,PRICE CENTER.ROOF.AHU-6.HTG-O,NAE-270/FC-1.FEC-04.HTG-O,percent
urn:uuid:209e9cb2-ebab-4e9a-b942-9b8dd99f7a77,770,3000053,analogOutput,Cooling Output,PRICE CENTER.ROOF.AHU-6.CLG-O,NAE-270/FC-1.FEC-04.CLG-O,percent
urn:uuid:84a27142-5f7a-4dfe-85c4-25f03dacb099,770,3000136,analogOutput,Exhaust Air Damper Output,PRICE CENTER.ROOF.AHU-6.EAD-O,NAE-270/FC-1.FEC-04.EAD-O,percent
urn:uuid:428dd882-3588-4f23-b91f-e79952108886,770,3000137,analogOutput,Return Air Damper Output,PRICE CENTER.ROOF.AHU-6.RAD-O,NAE-270/FC-1.FEC-04.RAD-O,percent
urn:uuid:e164ef55-4e14-4c49-a934-faa3f64b8b43,770,3000138,analogOutput,Outdoor Air Damper Output,PRICE CENTER.ROOF.AHU-6.OAD-O,NAE-270/FC-1.FEC-04.OAD-O,percent
urn:uuid:3fcb64ea-d6eb-4e92-8fcb-5e1064e6a281,770,3000032,analogValue,Effective Discharge Air Temperature Setp,PRICE CENTER.ROOF.AHU-6.EFFDAT-SP,NAE-270/FC-1.FEC-04.EFFDAT-SP,degreesFahrenheit
