uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:853202c5-5b28-442a-ab1f-558d7a8e3ed7,637,3000045,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1323.VAV-1323-1.ZN-T,NAE-137/FC-1.AH6-SAV-004.ZN-T,degreesFahrenheit
urn:uuid:2e5efa1c-865e-415e-a87b-d406387dfedd,637,3000065,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1512.VAV-1512-1.ZN-T,NAE-137/FC-1.AH6-FEC-005.ZN-T,degreesFahrenheit
urn:uuid:fef768a8-af7c-4f67-bb22-b0589baf16c5,637,3000072,analogInput,Supply Air Flow,EBU1.1ST-FLR.RM-1512.VAV-1512-1.SA-FLOW,NAE-137/FC-1.AH6-FEC-005.SA-FLOW,cubicFeetPerMinute
urn:uuid:f27de8ed-c806-433f-81d6-88556e7f0e9c,637,3000073,analogInput,Exhaust Air Flow,EBU1.1ST-FLR.RM-1512.VAV-1512-1.EA-FLOW,NAE-137/FC-1.AH6-FEC-005.EA-FLOW,cubicFeetPerMinute
urn:uuid:e084b31e-bba5-4f34-af6f-fa1e4107eb11,637,3000080,analogInput,Fume Hood 1 Air Flow,EBU1.1ST-FLR.RM-1512.VAV-1512-1.FUME1-FLOW,NAE-137/FC-1.AH6-FEC-005.FUME1-FLOW,cubicFeetPerMinute
urn:uuid:b8e53fc6-c093-40e4-b295-d80dcf00c115,637,3000081,analogInput,Fume Hood 1 Sash Position,EBU1.1ST-FLR.RM-1512.VAV-1512-1.FUME1-SASH,NAE-137/FC-1.AH6-FEC-005.FUME1-SASH,percent
urn:uuid:1f7dbbb7-600f-47de-973c-142e1780c21a,637,3000083,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1321.VAV-1321-1.ZN-T,NAE-137/FC-1.AH6-SAV-006.ZN-T,degreesFahrenheit
urn:uuid:d74283ca-bca5-460c-9df4-4bc30e115d47,637,3000103,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1325.VAV-1325-1.ZN-T,NAE-137/FC-1.AH6-FEC-007.ZN-T,degreesFahrenheit
urn:uuid:fd46a4d7-80a8-4d41-89aa-41c930d4d5f8,637,3000110,analogInput,Supply Air Flow,EBU1.1ST-FLR.RM-1325.VAV-1325-1.SA-FLOW,NAE-137/FC-1.AH6-FEC-007.SA-FLOW,cubicFeetPerMinute
urn:uuid:f48a9c87-037f-4c34-99a4-f3a6a8524fcc,637,3000111,analogInput,Exhaust Air Flow,EBU1.1ST-FLR.RM-1325.VAV-1325-1.EA-FLOW,NAE-137/FC-1.AH6-FEC-007.EA-FLOW,cubicFeetPerMinute
urn:uuid:61c4d5d3-3b76-4a82-b7d9-44227f428211,637,3000118,analogInput,Fume Hood 1 Air Flow,EBU1.1ST-FLR.RM-1325.VAV-1325-1.FUME1-FLOW,NAE-137/FC-1.AH6-FEC-007.FUME1-FLOW,cubicFeetPerMinute
urn:uuid:39875eeb-f94e-415c-b3c8-9a91c388bd4b,637,3000119,analogInput,Fume Hood 1 Sash Position,EBU1.1ST-FLR.RM-1325.VAV-1325-1.FUME1-SASH,NAE-137/FC-1.AH6-FEC-007.FUME1-SASH,percent
urn:uuid:464f1ff3-7ed0-4d57-8a8a-c7c064c08cbd,637,3000121,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1516.VAV-1516-1.ZN-T,NAE-137/FC-1.AH6-FEC-008.ZN-T,degreesFahrenheit
urn:uuid:20045cf5-e628-4527-ac28-26fcedde3b23,637,3000128,analogInput,Supply Air Flow,EBU1.1ST-FLR.RM-1516.VAV-1516-1.SA-FLOW,NAE-137/FC-1.AH6-FEC-008.SA-FLOW,cubicFeetPerMinute
urn:uuid:5e33f29a-ea3c-4543-9ac8-1aa37767f7ad,637,3000136,analogInput,Fume Hood 1 Air Flow,EBU1.1ST-FLR.RM-1516.VAV-1516-1.FUME1-FLOW,NAE-137/FC-1.AH6-FEC-008.FUME1-FLOW,cubicFeetPerMinute
urn:uuid:437b861e-c214-42a0-81f0-17e6b4b4b3c0,637,3000137,analogInput,Fume Hood 1 Sash Position,EBU1.1ST-FLR.RM-1516.VAV-1516-1.FUME1-SASH,NAE-137/FC-1.AH6-FEC-008.FUME1-SASH,percent
urn:uuid:4605bfd3-d4c1-4b95-ac1e-0fc0329b1bc0,637,3000139,analogInput,Fume Hood 2 Air Flow,EBU1.1ST-FLR.RM-1516.VAV-1516-1.FUME2-FLOW,NAE-137/FC-1.AH6-FEC-008.FUME2-FLOW,cubicFeetPerMinute
urn:uuid:de377817-70b4-4436-adcf-d47fdf404819,637,3000140,analogInput,Fume Hood 2 Sash Position,EBU1.1ST-FLR.RM-1516.VAV-1516-1.FUME2-SASH,NAE-137/FC-1.AH6-FEC-008.FUME2-SASH,percent
urn:uuid:dc97ef84-0736-4d21-ad13-4c4856dbec9b,637,3000142,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1811.VAV-1811-1.ZN-T,NAE-137/FC-1.AH6-SAV-009.ZN-T,degreesFahrenheit
urn:uuid:0c71f9e0-515d-4dad-857b-507f0b6f922c,637,3000162,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1329.VAV-1329-1.ZN-T,NAE-137/FC-1.AH6-SAV-010.ZN-T,degreesFahrenheit
urn:uuid:86508bda-71dc-42b5-8921-7c7411db5dde,637,3000182,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1518.VAV-1518-1.ZN-T,NAE-137/FC-1.AH6-FEC-011.ZN-T,degreesFahrenheit
urn:uuid:44165212-f17e-49ce-a43a-4391ff8eed5e,637,3000189,analogInput,Supply Air Flow,EBU1.1ST-FLR.RM-1518.VAV-1518-1.SA-FLOW,NAE-137/FC-1.AH6-FEC-011.SA-FLOW,cubicFeetPerMinute
urn:uuid:dc30348b-e3ff-45fd-9497-967fdc5d7ecf,637,3000190,analogInput,Exhaust Air Flow,EBU1.1ST-FLR.RM-1518.VAV-1518-1.EA-FLOW,NAE-137/FC-1.AH6-FEC-011.EA-FLOW,cubicFeetPerMinute
urn:uuid:67febec6-e448-4caf-8a05-4132b5967ad9,637,3000197,analogInput,Fume Hood 1 Air Flow,EBU1.1ST-FLR.RM-1518.VAV-1518-1.FUME1-FLOW,NAE-137/FC-1.AH6-FEC-011.FUME1-FLOW,cubicFeetPerMinute
urn:uuid:4178c076-46bf-4a9c-a1a8-8ba34b8828e2,637,3000198,analogInput,Fume Hood 1 Sash Position,EBU1.1ST-FLR.RM-1518.VAV-1518-1.FUME1-SASH,NAE-137/FC-1.AH6-FEC-011.FUME1-SASH,percent
urn:uuid:3f66f0e3-4d11-42a5-821f-354c61a0b1c2,637,3000240,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1331.VAV-1331-1.ZN-T,NAE-137/FC-1.AH6-SAV-014.ZN-T,degreesFahrenheit
urn:uuid:234b6ec7-eee7-4b76-b6ca-14b5075a0c6e,637,3000260,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1520.VAV-1520-1.ZN-T,NAE-137/FC-1.AH6-SAV-015.ZN-T,degreesFahrenheit
urn:uuid:b12b3709-941e-4c7f-af52-a88863b0b2af,637,3000280,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1335.VAV-1335-1.ZN-T,NAE-137/FC-1.AH6-SAV-016.ZN-T,degreesFahrenheit
urn:uuid:13747a9e-2dad-447f-8ccc-07caf1235f05,637,3000302,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1319.VAV-1319-1.ZN-T,NAE-137/FC-2.AH6-SAV-004.ZN-T,degreesFahrenheit
urn:uuid:16480032-da43-4a9a-b6b2-0cb4452f3b87,637,3000322,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1317.VAV-1317-1.ZN-T,NAE-137/FC-2.AH6-SAV-005.ZN-T,degreesFahrenheit
urn:uuid:c91167a8-3938-4e4e-97a4-9dd610f2e31e,637,3000342,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1508.VAV-1508-1.ZN-T,NAE-137/FC-2.AH6-FEC-006.ZN-T,degreesFahrenheit
urn:uuid:094a385f-37ca-4170-b2d6-d2b2d36ac5fe,637,3000349,analogInput,Supply Air Flow,EBU1.1ST-FLR.RM-1508.VAV-1508-1.SA-FLOW,NAE-137/FC-2.AH6-FEC-006.SA-FLOW,cubicFeetPerMinute
urn:uuid:c6b32501-5d5c-45e3-9c30-a23dfae487d7,637,3000350,analogInput,Exhaust Air Flow,EBU1.1ST-FLR.RM-1508.VAV-1508-1.EA-FLOW,NAE-137/FC-2.AH6-FEC-006.EA-FLOW,cubicFeetPerMinute
urn:uuid:5ebf95b5-4d1a-4ad6-a09c-b77b3f658987,637,3000357,analogInput,Fume Hood 1 Air Flow,EBU1.1ST-FLR.RM-1508.VAV-1508-1.FUME1-FLOW,NAE-137/FC-2.AH6-FEC-006.FUME1-FLOW,cubicFeetPerMinute
urn:uuid:0cd465b5-c0c4-4770-8d74-95d216aa85bb,637,3000358,analogInput,Fume Hood 1 Sash Position,EBU1.1ST-FLR.RM-1508.VAV-1508-1.FUME1-SASH,NAE-137/FC-2.AH6-FEC-006.FUME1-SASH,percent
urn:uuid:8d965941-9328-4b20-80ce-914d65adfb88,637,3000360,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1313.VAV-1313-1.ZN-T,NAE-137/FC-2.AH6-SAV-007.ZN-T,degreesFahrenheit
urn:uuid:9c1cdb4a-8556-4fc7-8cc5-9a07051c1f6b,637,3000380,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1506.VAV-1506-1.ZN-T,NAE-137/FC-2.AH6-SAV-008.ZN-T,degreesFahrenheit
urn:uuid:3b00c46f-bff1-44d0-8904-981c395b16dc,637,3000400,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1311.VAV-1311-1.ZN-T,NAE-137/FC-2.AH6-SAV-009.ZN-T,degreesFahrenheit
urn:uuid:79bba264-6d83-4498-8191-55f1f4ecc144,637,3000464,analogInput,Zone Temperature,EBU1.1ST-FLR.RM-1504.VAV-1504-1.ZN-T,NAE-137/FC-2.AH6-SAV-014.ZN-T,degreesFahrenheit
urn:uuid:1f9e14c9-1b12-47c0-9175-9233e05195d9,637,3000799,analogInput,Supply Air Temperature,EBU1.1ST-FLR.RM-1403.HV5.SA-T,NAE-137/FC-2.HV5-TEC-016.SA-T,degreesFahrenheit
urn:uuid:28f3779d-224f-4788-969c-fa774c64820b,637,3000051,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1323.VAV-1323-1.HTGVLV-CMD,NAE-137/FC-1.AH6-SAV-004.HTGVLV-CMD,noUnits
urn:uuid:69bf7980-9647-44c4-9e0d-8d8a23bebd9d,637,3000071,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1512.VAV-1512-1.HTGVLV-CMD,NAE-137/FC-1.AH6-FEC-005.HTGVLV-CMD,percent
urn:uuid:0025ded1-51ca-404b-aeff-3a149c493c82,637,3000089,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1321.VAV-1321-1.HTGVLV-CMD,NAE-137/FC-1.AH6-SAV-006.HTGVLV-CMD,noUnits
urn:uuid:ed935391-33e6-46a0-84b1-1832c0f00ba2,637,3000109,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1325.VAV-1325-1.HTGVLV-CMD,NAE-137/FC-1.AH6-FEC-007.HTGVLV-CMD,percent
urn:uuid:689f37e4-f6e1-4c73-91b6-f4502bda58f0,637,3000127,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1516.VAV-1516-1.HTGVLV-CMD,NAE-137/FC-1.AH6-FEC-008.HTGVLV-CMD,percent
urn:uuid:db6b0133-a3be-4694-9341-57b0830c5c04,637,3000148,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1811.VAV-1811-1.HTGVLV-CMD,NAE-137/FC-1.AH6-SAV-009.HTGVLV-CMD,noUnits
urn:uuid:4b3b32dc-5a61-4d40-9768-8e381f8aacca,637,3000168,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1329.VAV-1329-1.HTGVLV-CMD,NAE-137/FC-1.AH6-SAV-010.HTGVLV-CMD,noUnits
urn:uuid:12463061-2528-440d-9c55-757293506476,637,3000188,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1518.VAV-1518-1.HTGVLV-CMD,NAE-137/FC-1.AH6-FEC-011.HTGVLV-CMD,percent
urn:uuid:0a45cc35-8ab0-4517-b6ec-0c40e902b307,637,3000246,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1331.VAV-1331-1.HTGVLV-CMD,NAE-137/FC-1.AH6-SAV-014.HTGVLV-CMD,noUnits
urn:uuid:03860abe-e6d7-4e15-9baa-bafe0a2a8d86,637,3000266,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1520.VAV-1520-1.HTGVLV-CMD,NAE-137/FC-1.AH6-SAV-015.HTGVLV-CMD,noUnits
urn:uuid:fecfa760-ea32-42c2-a422-51470330bef8,637,3000286,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1335.VAV-1335-1.HTGVLV-CMD,NAE-137/FC-1.AH6-SAV-016.HTGVLV-CMD,noUnits
urn:uuid:2f4d8f7d-6ab0-4bf7-8ed3-1e6fce256798,637,3000308,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1319.VAV-1319-1.HTGVLV-CMD,NAE-137/FC-2.AH6-SAV-004.HTGVLV-CMD,noUnits
urn:uuid:bfff3562-2412-4468-a358-2330db5e8639,637,3000328,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1317.VAV-1317-1.HTGVLV-CMD,NAE-137/FC-2.AH6-SAV-005.HTGVLV-CMD,noUnits
urn:uuid:a815bc83-a2fb-47fe-bf73-347e65841921,637,3000348,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1508.VAV-1508-1.HTGVLV-CMD,NAE-137/FC-2.AH6-FEC-006.HTGVLV-CMD,percent
urn:uuid:e1034950-cf70-4a7a-ab60-826d6ca1ee30,637,3000366,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1313.VAV-1313-1.HTGVLV-CMD,NAE-137/FC-2.AH6-SAV-007.HTGVLV-CMD,noUnits
urn:uuid:a0e52cd4-72c4-42a8-a27f-7ba01424fce0,637,3000386,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1506.VAV-1506-1.HTGVLV-CMD,NAE-137/FC-2.AH6-SAV-008.HTGVLV-CMD,noUnits
urn:uuid:3dd4f457-889a-4ad0-a8c9-0fe43c477ca3,637,3000406,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1311.VAV-1311-1.HTGVLV-CMD,NAE-137/FC-2.AH6-SAV-009.HTGVLV-CMD,noUnits
urn:uuid:4443d128-02b4-440d-80a5-08e3d5b21738,637,3000470,analogOutput,Heating Valve Command,EBU1.1ST-FLR.RM-1504.VAV-1504-1.HTGVLV-CMD,NAE-137/FC-2.AH6-SAV-014.HTGVLV-CMD,noUnits
urn:uuid:4ea64e42-1c4f-4c0d-b4ed-5653ade349ae,637,3000046,analogValue,Warmer/Cooler Adjust,EBU1.1ST-FLR.RM-1323.VAV-1323-1.WC-ADJ,NAE-137/FC-1.AH6-SAV-004.WC-ADJ,degreesFahrenheit
urn:uuid:e0ab3dc7-a694-4be9-b1f7-06f0f6a6cdf3,637,3000047,analogValue,Actual Cooling Setpoint,EBU1.1ST-FLR.RM-1323.VAV-1323-1.ACTCLG-STPT,NAE-137/FC-1.AH6-SAV-004.ACTCLG-STPT,degreesFahrenheit
urn:uuid:3f35b7f4-dedd-4147-b246-fa2e89b5e361,637,3000048,analogValue,Actual Heating Setpoint,EBU1.1ST-FLR.RM-1323.VAV-1323-1.ACTHTG-STPT,NAE-137/FC-1.AH6-SAV-004.ACTHTG-STPT,degreesFahrenheit
urn:uuid:c76c769a-35b9-4937-8afc-1e35e3b55d6d,637,3000049,analogValue,Occupied Temperature Setpoint,EBU1.1ST-FLR.RM-1323.VAV-1323-1.OCCTEMP-STPT,NAE-137/FC-1.AH6-SAV-004.OCCTEMP-STPT,noUnits
urn:uuid:e03d807d-d4f1-43be-b2c5-fd1f64647b79,637,3000050,analogValue,Occupied Temperature Deadband,EBU1.1ST-FLR.RM-1323.VAV-1323-1.OCCTEMP-DB,NAE-137/FC-1.AH6-SAV-004.OCCTEMP-DB,degreesFahrenheit
urn:uuid:d843cfe3-ee08-465a-9df6-8848fcff5012,637,3000052,analogValue,Cooling Demand,EBU1.1ST-FLR.RM-1323.VAV-1323-1.CLG-DMD,NAE-137/FC-1.AH6-SAV-004.CLG-DMD,noUnits
urn:uuid:84e6b064-0b8c-4378-83c2-70fd483c4946,637,3000055,analogValue,Supply Flow Command,EBU1.1ST-FLR.RM-1323.VAV-1323-1.SUPFLOW-COMMAND,NAE-137/FC-1.AH6-SAV-004.SUPFLOW-COMMAND,noUnits
urn:uuid:3dee0e7f-a6bf-49a2-9e30-aac0cea3870b,637,3000056,analogValue,Supply Flow Feedback,EBU1.1ST-FLR.RM-1323.VAV-1323-1.SUPFLOW-FEEDBACK,NAE-137/FC-1.AH6-SAV-004.SUPFLOW-FEEDBACK,noUnits
urn:uuid:252afd1d-687c-493a-bc50-8abdde71a68c,637,3000057,analogValue,Exhaust Flow Command,EBU1.1ST-FLR.RM-1323.VAV-1323-1.EXHFLOW-COMMAND,NAE-137/FC-1.AH6-SAV-004.EXHFLOW-COMMAND,noUnits
urn:uuid:756ee43c-da0a-4125-ab5d-91ee2ab96830,637,3000058,analogValue,Exhaust Flow Feedback,EBU1.1ST-FLR.RM-1323.VAV-1323-1.EXHFLOW-FEEDBACK,NAE-137/FC-1.AH6-SAV-004.EXHFLOW-FEEDBACK,noUnits
urn:uuid:3e02d827-a9fa-4a70-b41e-995c6f32694e,637,3000059,analogValue,Unoccupied Cooling Setpoint,EBU1.1ST-FLR.RM-1323.VAV-1323-1.UNOCCCLG-STPT,NAE-137/FC-1.AH6-SAV-004.UNOCCCLG-STPT,degreesFahrenheit
urn:uuid:2ff1a690-8fd2-450d-a701-32988e8fa101,637,3000060,analogValue,Unoccupied Heating Setpoint,EBU1.1ST-FLR.RM-1323.VAV-1323-1.UNOCCHTG-STPT,NAE-137/FC-1.AH6-SAV-004.UNOCCHTG-STPT,degreesFahrenheit
urn:uuid:8e3cbc61-4206-4e43-94c4-f47c795ae06b,637,3000066,analogValue,Warmer/Cooler Adjust,EBU1.1ST-FLR.RM-1512.VAV-1512-1.WC-ADJ,NAE-137/FC-1.AH6-FEC-005.WC-ADJ,degreesFahrenheit
urn:uuid:ecc38d2c-faf4-4166-b9df-ed7878be48a6,637,3000067,analogValue,Common Setpoint,EBU1.1ST-FLR.RM-1512.VAV-1512-1.COM-STPT,NAE-137/FC-1.AH6-FEC-005.COM-STPT,degreesFahrenheit
urn:uuid:9e3358de-cc33-4697-b43b-6bea72721ee8,637,3000068,analogValue,Actual Cooling Setpoint,EBU1.1ST-FLR.RM-1512.VAV-1512-1.ACTCLG-STPT,NAE-137/FC-1.AH6-FEC-005.ACTCLG-STPT,degreesFahrenheit
urn:uuid:36aba3d6-12b8-4e35-8f6c-181492a655c7,637,3000069,analogValue,Actual Heating Setpoint,EBU1.1ST-FLR.RM-1512.VAV-1512-1.ACTHTG-STPT,NAE-137/FC-1.AH6-FEC-005.ACTHTG-STPT,degreesFahrenheit
urn:uuid:c8ff0503-c427-453a-b7c5-bda45c459f14,637,3000070,analogValue,Cooling Coomand,EBU1.1ST-FLR.RM-1512.VAV-1512-1.CLG-CMD,NAE-137/FC-1.AH6-FEC-005.CLG-CMD,percent
urn:uuid:278248a3-e82e-48f9-a4b1-fe6f9bb7fe89,637,3000074,analogValue,Supply Air Flow Setpoint,EBU1.1ST-FLR.RM-1512.VAV-1512-1.SAFLOW-STPT,NAE-137/FC-1.AH6-FEC-005.SAFLOW-STPT,cubicFeetPerMinute
