uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:7cd9b7c1-2d61-4859-863f-fd964d8adc25,552,3000073,analogInput,,AI2 ACT,NAE-52/FCB.Device-18061.Analog Inputs.AI-1,percent
urn:uuid:1d826f05-45b6-4790-9da2-93669267f921,552,3000074,analogInput,,AI1 ACT,NAE-52/FCB.Device-18061.Analog Inputs.AI-0,percent
urn:uuid:7c8e2f76-fc6a-48bd-8c31-ed394e7618f9,552,3000128,analogInput,,VFD-FREQ,NAE-52/FCB.Device-18061.VFD-FREQ,percent
urn:uuid:e2fed4d3-4283-4efd-9ffa-091ee08467a1,552,3000129,analogInput,,FRE,NAE-52/FCB.Device-18061.FRE,percent
urn:uuid:544e2b1c-fac8-42f7-8025-eb9819161a79,552,3000176,analogInput,,AI2 ACT,NAE-52/FCB.Device-18063.Analog Inputs.AI-1,percent
urn:uuid:3a8675ea-7866-433f-b47e-576216c5edb4,552,3000177,analogInput,,AI1 ACT,NAE-52/FCB.Device-18063.Analog Inputs.AI-0,percent
urn:uuid:f977cb1c-bc16-4949-9854-12a3aede4c09,552,3000070,analogOutput,,AO2 CMD,NAE-52/FCB.Device-18061.Analog Outputs.AO-1,percent
urn:uuid:94faf198-a1a5-41dd-87d3-82cdfd1e0aae,552,3000071,analogOutput,,AO1 CMD,NAE-52/FCB.Device-18061.Analog Outputs.AO-0,percent
urn:uuid:795f9ae2-fd50-4dbd-a1f3-9281977dfc2c,552,3000173,analogOutput,,AO2 CMD,NAE-52/FCB.Device-18063.Analog Outputs.AO-1,percent
urn:uuid:fe03ba48-8145-4580-85dc-e14b9c04a713,552,3000174,analogOutput,,AO1 CMD,NAE-52/FCB.Device-18063.Analog Outputs.AO-0,percent
urn:uuid:cdde3af0-f691-4999-a306-3c616cf47618,552,3000229,analogOutput,P-1 SPEED COMMAND,Literature.CHW.CHWP1-SPD,NAE-52/FCB.Local Application.SCHWP1-O,percent
urn:uuid:cbac2939-2631-42ad-a9fb-1403f103916e,552,3000230,analogOutput,P-2 SPEED COMMAND,Literature.CHW.CHWP2-SPD,NAE-52/FCB.Local Application.SCHWP2-O,percent
urn:uuid:18a8d653-0d3f-4517-b6ca-475148a87c25,552,3000041,analogValue,,MOTOR TEMP,NAE-52/FCB.Device-18061.Analog Values.AV-15,degreesCelsius
urn:uuid:d0cf0e65-ca48-4a93-9a39-62d27a3a1892,552,3000042,analogValue,,RUN TIME (R),NAE-52/FCB.Device-18061.Analog Values.AV-14,hours
urn:uuid:7b31c42c-1ae2-464c-b4b9-5118c319e687,552,3000043,analogValue,,EXT PID DEV,NAE-52/FCB.Device-18061.Analog Values.AV-13,percent
urn:uuid:a05c83ba-e09f-49cf-ac3f-b8a754066e0d,552,3000044,analogValue,,EXT PID FBCK,NAE-52/FCB.Device-18061.Analog Values.AV-12,percent
urn:uuid:036f8ee7-0cb9-4926-b35d-9b71013028de,552,3000045,analogValue,,PRC PID DEV,NAE-52/FCB.Device-18061.Analog Values.AV-11,percent
urn:uuid:c6b53c3b-2938-4415-8c2f-c14aa3dd67d0,552,3000046,analogValue,,PRC PID FBCK,NAE-52/FCB.Device-18061.Analog Values.AV-10,percent
urn:uuid:d87a5cb4-063a-4d5c-ad83-3fc94853d8a6,552,3000047,analogValue,,MWH (NR),NAE-52/FCB.Device-18061.Analog Values.AV-9,megawattHours
urn:uuid:04abf7bc-1006-4b7f-8b4b-843221441cdc,552,3000048,analogValue,,KWH (R),NAE-52/FCB.Device-18061.Analog Values.AV-8,kilowattHours
urn:uuid:659df3a9-3496-465c-9b86-5cdfcc1920b5,552,3000049,analogValue,,DRIVE TEMP,NAE-52/FCB.Device-18061.Analog Values.AV-7,degreesCelsius
urn:uuid:3b7d3417-0ada-4ced-b0b8-11faeae97607,552,3000050,analogValue,,POWER,NAE-52/FCB.Device-18061.Analog Values.AV-6,kilowatts
urn:uuid:ff616b0c-d682-4cc0-8e00-511f6d0b6b21,552,3000051,analogValue,,TORQUE,NAE-52/FCB.Device-18061.Analog Values.AV-5,percent
urn:uuid:5b761bca-4322-4a24-9307-f91a5aaf2a7e,552,3000052,analogValue,,CURRENT,NAE-52/FCB.Device-18061.Analog Values.AV-4,amperes
urn:uuid:4a555d72-363c-4421-bb32-a4e3f0cebfff,552,3000053,analogValue,,OUTPUT VOLT,NAE-52/FCB.Device-18061.Analog Values.AV-3,volts
urn:uuid:06e22b02-4825-4333-81f1-8f26fa046622,552,3000054,analogValue,,DC BUS VOLT,NAE-52/FCB.Device-18061.Analog Values.AV-2,volts
urn:uuid:4a4eb87a-177b-4b49-aed7-cb84be661f6f,552,3000055,analogValue,,OUTPUT FREQ,NAE-52/FCB.Device-18061.Analog Values.AV-1,hertz
urn:uuid:2dc8c8ce-f533-42b4-9c77-244c4305f342,552,3000056,analogValue,,OUTPUT SPEED,NAE-52/FCB.Device-18061.Analog Values.AV-0,revolutionsPerMinute
urn:uuid:84a7a36e-bf1d-4785-a165-722fc4a57211,552,3000057,analogValue,,EXT PID STPT,NAE-52/FCB.Device-18061.Analog Values.AV-27,percent
urn:uuid:0b129ed3-4ab5-4932-9242-29371503e4aa,552,3000058,analogValue,,MBOX DATA,NAE-52/FCB.Device-18061.Analog Values.AV-26,noUnits
urn:uuid:fd4472e0-37bb-49cb-8d9c-479bc0be3c81,552,3000059,analogValue,,MBOX PARAM,NAE-52/FCB.Device-18061.Analog Values.AV-25,noUnits
urn:uuid:42633808-3a2a-428c-86cb-6417f12aa2b1,552,3000060,analogValue,,DECEL1 TIME,NAE-52/FCB.Device-18061.Analog Values.AV-24,seconds
urn:uuid:6c7074b5-7a15-4f14-9d5c-65f496880d1f,552,3000061,analogValue,,ACCEL1 TIME,NAE-52/FCB.Device-18061.Analog Values.AV-23,seconds
urn:uuid:7718a671-5f49-4879-90d3-c312c018c329,552,3000062,analogValue,,AO2 ACT,NAE-52/FCB.Device-18061.Analog Values.AV-22,milliamperes
urn:uuid:c47fd379-aa5e-4a1a-8381-a34ff87f813b,552,3000063,analogValue,,AO1 ACT,NAE-52/FCB.Device-18061.Analog Values.AV-21,milliamperes
urn:uuid:46f2cf4a-a504-4035-af5e-db4df4b14c8f,552,3000064,analogValue,EXT PID STPT,noUnits,PREV FLT 2,NAE-52/FCB.Device-18061.Analog Values.AV-20
urn:uuid:63abfdcd-7bf7-4f20-94a5-3a0fef74be6d,552,3000065,analogValue,,PREV FLT 1,NAE-52/FCB.Device-18061.Analog Values.AV-19,noUnits
urn:uuid:a6bea5ea-98df-465e-ad28-ae3292cccccd,552,3000066,analogValue,,LAST FLT,NAE-52/FCB.Device-18061.Analog Values.AV-18,noUnits
urn:uuid:9cd9299c-ad62-43d1-ab8f-ffffd2c7a096,552,3000067,analogValue,,INPUT REF2,NAE-52/FCB.Device-18061.Analog Values.AV-17,percent
urn:uuid:b0a08fa9-b37a-43c3-b516-383291a7b0c2,552,3000068,analogValue,,INPUT REF1,NAE-52/FCB.Device-18061.Analog Values.AV-16,percent
urn:uuid:7199cbe0-5cf5-4bf3-a76f-699f247a3773,552,3000144,analogValue,,MOTOR TEMP,NAE-52/FCB.Device-18063.Analog Values.AV-15,degreesCelsius
urn:uuid:2b4b9744-eb8f-4787-9c74-61f3e4d745c1,552,3000145,analogValue,,RUN TIME (R),NAE-52/FCB.Device-18063.Analog Values.AV-14,hours
urn:uuid:3c1a1378-5d27-4a65-a41b-4c8b3b911d73,552,3000146,analogValue,,EXT PID DEV,NAE-52/FCB.Device-18063.Analog Values.AV-13,percent
urn:uuid:0e7d9507-c186-404b-82b2-144fb0ed90bf,552,3000147,analogValue,,EXT PID FBCK,NAE-52/FCB.Device-18063.Analog Values.AV-12,percent
urn:uuid:f8e9bc3b-6bf2-4a57-b765-00c189ae9afa,552,3000148,analogValue,,PRC PID DEV,NAE-52/FCB.Device-18063.Analog Values.AV-11,percent
urn:uuid:cd30973f-ed7f-4dd2-a4e7-0b040196997b,552,3000149,analogValue,,PRC PID FBCK,NAE-52/FCB.Device-18063.Analog Values.AV-10,percent
urn:uuid:a745046f-b194-4338-aa02-d022fd380015,552,3000150,analogValue,,MWH (NR),NAE-52/FCB.Device-18063.Analog Values.AV-9,megawattHours
urn:uuid:3b3e732a-303c-40e8-95ee-e012b2a7b5a8,552,3000151,analogValue,,KWH (R),NAE-52/FCB.Device-18063.Analog Values.AV-8,kilowattHours
urn:uuid:7f9e39f4-aaf8-4e48-9d77-790f39d5163a,552,3000152,analogValue,,DRIVE TEMP,NAE-52/FCB.Device-18063.Analog Values.AV-7,degreesCelsius
urn:uuid:5668d2c7-fc8f-406e-917d-8e7adc6da9e8,552,3000153,analogValue,,POWER,NAE-52/FCB.Device-18063.Analog Values.AV-6,kilowatts
urn:uuid:b930503c-3f12-4e7d-8820-9f8fbc6645f8,552,3000154,analogValue,,TORQUE,NAE-52/FCB.Device-18063.Analog Values.AV-5,percent
urn:uuid:de393934-4a5a-4c2d-86cb-4087be10e542,552,3000155,analogValue,,CURRENT,NAE-52/FCB.Device-18063.Analog Values.AV-4,amperes
urn:uuid:645421c2-42f7-490d-98e1-64f6ff61c412,552,3000156,analogValue,,OUTPUT VOLT,NAE-52/FCB.Device-18063.Analog Values.AV-3,volts
urn:uuid:bab66868-d54f-4d05-a3f4-b7a58c816e87,552,3000157,analogValue,,DC BUS VOLT,NAE-52/FCB.Device-18063.Analog Values.AV-2,volts
urn:uuid:c597aa52-8c5a-4447-a686-34a8c3404bf5,552,3000158,analogValue,,OUTPUT FREQ,NAE-52/FCB.Device-18063.Analog Values.AV-1,hertz
urn:uuid:1bedf6da-4364-4f3e-b95f-2e942c0e92e6,552,3000159,analogValue,,OUTPUT SPEED,NAE-52/FCB.Device-18063.Analog Values.AV-0,revolutionsPerMinute
urn:uuid:82cbcc2c-39df-41df-9c28-73f99e7ab334,552,3000160,analogValue,,EXT PID STPT,NAE-52/FCB.Device-18063.Analog Values.AV-27,percent
urn:uuid:89b4593d-b91f-43fd-88c3-0a29f2272ee4,552,3000161,analogValue,,MBOX DATA,NAE-52/FCB.Device-18063.Analog Values.AV-26,noUnits
urn:uuid:2dbb6351-b494-40ac-924c-e2ba18be5d48,552,3000162,analogValue,,MBOX PARAM,NAE-52/FCB.Device-18063.Analog Values.AV-25,noUnits
urn:uuid:a02ee4b6-0ae8-44ec-b070-954fb5cf7eea,552,3000163,analogValue,,DECEL1 TIME,NAE-52/FCB.Device-18063.Analog Values.AV-24,seconds
